wort;übersetzung;wortart;niveau;thema
cafe;Café;n.;A1;
cake;Kuchen;n.;A1;
call;anrufen / Anruf;v., n.;A1;
camera;Kamera;n.;A1;
can;können / Dose;modal v.;A1;
cannot;nicht können;modal v.;A1;
capital;Hauptstadt / Großbuchstabe;n., adj.;A1;
car;Auto;n.;A1;
card;Karte;n.;A1;
career;Karriere / Laufbahn;n.;A1;
carrot;Karotte / Möhre;n.;A1;
carry;tragen;v.;A1;
cat;Katze;n.;A1;
CD;CD;n.;A1;
cent;Cent;n.;A1;
centre;Zentrum / Mitte;n.;A1;
century;Jahrhundert;n.;A1;
chair;Stuhl;n.;A1;
change;ändern / Wechsel;v., n.;A1;
chart;Diagramm / Tabelle;n.;A1;
cheap;billig / günstig;adj.;A1;
check;prüfen / Scheck;v.;A1;
cheese;Käse;n.;A1;
chicken;Huhn / Hühnchen;n.;A1;
child;Kind;n.;A1;
chocolate;Schokolade;n.;A1;
choose;wählen / aussuchen;v.;A1;
cinema;Kino;n.;A1;
city;Stadt;n.;A1;
class;Klasse / Unterricht;n.;A1;
classroom;Klassenzimmer;n.;A1;
clean;sauber / putzen;adj., v.;A1;
climb;klettern / steigen;v.;A1;
clock;Uhr;n.;A1;
close;schließen / nah;v.;A1;
clothes;Kleidung;n.;A1;
club;Klub / Verein;n.;A1;
coat;Mantel;n.;A1;
coffee;Kaffee;n.;A1;
cold;kalt;adj., n.;A1;
college;College / Hochschule;n.;A1;
colour;Farbe;n.;A1;
come;kommen;v.;A1;
common;gemeinsam / häufig;adj.;A1;
company;Firma / Gesellschaft;n.;A1;
compare;vergleichen;v.;A1;
complete;vollständig / vervollständigen;adj., v.;A1;
computer;Computer;n.;A1;
concert;Konzert;n.;A1;
conversation;Gespräch;n.;A1;
cook;kochen / Koch:in;v.;A1;
cooking;Kochen;n.;A1;
cool;kühl / cool;adj.;A1;
correct;richtig / korrigieren;adj., v.;A1;
cost;Kosten / kosten;n., v.;A1;
could;könnte;modal v.;A1;
country;Land;n.;A1;
course;Kurs / Verlauf;n.;A1;
cousin;Cousin / Cousine;n.;A1;
cow;Kuh;n.;A1;
cream;Sahne / Creme;n.;A1;
create;erschaffen / erstellen;v.;A1;
culture;Kultur;n.;A1;
cup;Tasse / Becher;n.;A1;
customer;Kunde / Kundin;n.;A1;
cut;schneiden;v.;A1;
dad;Papa;n.;A1;
dance;tanzen / Tanz;n., v.;A1;
dancer;Tänzer:in;n.;A1;
dancing;Tanzen;n.;A1;
dangerous;gefährlich;adj.;A1;
dark;dunkel;adj.;A1;
date;Datum / Verabredung;n.;A1;
daughter;Tochter;n.;A1;
day;Tag;n.;A1;
dear;lieb / teuer;adj.;A1;
December;Dezember;n.;A1;
decide;entscheiden;v.;A1;
delicious;köstlich / lecker;adj.;A1;
describe;beschreiben;v.;A1;
description;Beschreibung;n.;A1;
design;Design / entwerfen;n., v.;A1;
desk;Schreibtisch;n.;A1;
detail;Detail;n.;A1;
dialogue;Dialog;n.;A1;
dictionary;Wörterbuch;n.;A1;
die;sterben;v.;A1;
diet;Ernährung / Diät;n.;A1;
difference;Unterschied;n.;A1;
different;anders / verschieden;adj.;A1;
difficult;schwierig;adj.;A1;
dinner;Abendessen;n.;A1;
dirty;schmutzig;adj.;A1;
discuss;besprechen / diskutieren;v.;A1;
dish;Gericht / Geschirr;n.;A1;
do;tun / machen;v., auxiliary v.;A1;
doctor;Arzt / Ärztin;n.;A1;
dog;Hund;n.;A1;
dollar;Dollar;n.;A1;
door;Tür;n.;A1;
down;hinunter / unten;adv., prep.;A1;
downstairs;unten / nach unten;adv.;A1;
draw;zeichnen;v.;A1;
dress;Kleid / sich anziehen;n., v.;A1;
drink;trinken / Getränk;n., v.;A1;
drive;fahren;v.;A1;
driver;Fahrer:in;n.;A1;
during;während;prep.;A1;
DVD;DVD;n.;A1;
ear;Ohr;n.;A1;
early;früh;adj., adv.;A1;
east;Osten;n., adj., adv.;A1;
easy;leicht / einfach;adj.;A1;
eat;essen;v.;A1;
egg;Ei;n.;A1;
eight;acht;number;A1;
eighteen;achtzehn;number;A1;
eighty;achtzig;number;A1;
elephant;Elefant;n.;A1;
eleven;elf;number;A1;
else;sonst;adv.;A1;
email;E-Mail;n., v.;A1;
end;Ende / beenden;n., v.;A1;
enjoy;genießen;v.;A1;
enough;genug;det., pron., adv.;A1;
euro;Euro;n.;A1;
even;sogar / eben;adv.;A1;
evening;Abend;n.;A1;
event;Ereignis / Veranstaltung;n.;A1;
ever;jemals;adv.;A1;
every;jede:r;det.;A1;
everybody;jeder / alle;pron.;A1;
everyone;jeder / alle;pron.;A1;
everything;alles;pron.;A1;
exam;Prüfung;n.;A1;
example;Beispiel;n.;A1;
excited;aufgeregt / begeistert;adj.;A1;
exciting;aufregend;adj.;A1;
exercise;Übung / sich bewegen;n., v.;A1;
expensive;teuer;adj.;A1;
explain;erklären;v.;A1;
extra;zusätzlich / extra;adj.;A1;
eye;Auge;n.;A1;
face;Gesicht;n.;A1;
fact;Tatsache / Fakt;n.;A1;
fall;fallen / Sturz;v.;A1;
false;falsch;adj.;A1;
family;Familie;n., adj.;A1;
famous;berühmt;adj.;A1;
fantastic;fantastisch;adj.;A1;
far;weit / entfernt;adv.;A1;
farm;Bauernhof;n.;A1;
farmer;Bauer / Bäuerin;n.;A1;
fast;schnell;adj., adv.;A1;
fat;dick / Fett;adj.;A1;
father;Vater;n.;A1;
favourite;Lieblings-;adj., n.;A1;
February;Februar;n.;A1;
feel;fühlen;v.;A1;
feeling;Gefühl;n.;A1;
festival;Festival / Fest;n.;A1;
few det./adj.,;wenige;pron.;A1;
fifteen;fünfzehn;number;A1;
fifth;fünfte:r;number;A1;
fifty;fünfzig;number;A1;
fill;füllen;v.;A1;
film;Film;n.;A1;
final;endgültig / Finale;adj.;A1;
find;finden;v.;A1;
fine;gut / fein;adj.;A1;
finish;beenden / Ende;v.;A1;
fire;Feuer;n.;A1;
first det./number,;erste:r;adv.;A1;
fish;Fisch;n.;A1;
five;fünf;number;A1;
flat;Wohnung / flach;n.;A1;
flight;Flug;n.;A1;
floor;Boden / Stockwerk;n.;A1;
flower;Blume;n.;A1;
fly;fliegen;v.;A1;
follow;folgen;v.;A1;
food;Essen / Nahrung;n.;A1;
foot;Fuß;n.;A1;
football;Fußball;n.;A1;
for;für;prep.;A1;
forget;vergessen;v.;A1;
form;Form / Formular;n., v.;A1;
forty;vierzig;number;A1;
four;vier;number;A1;
fourteen;vierzehn;number;A1;
fourth;vierte:r;number;A1;
free;frei / kostenlos;adj.;A1;
Friday;Freitag;n.;A1;
friend;Freund:in;n.;A1;
friendly;freundlich;adj.;A1;
from;von / aus;prep.;A1;
front;Vorderseite / vorne;n., adj.;A1;
fruit;Obst / Frucht;n.;A1;
full;voll;adj.;A1;
fun;Spaß;n.;A1;
funny;lustig;adj.;A1;
future;Zukunft;n.;A1;
game;Spiel;n.;A1;
garden;Garten;n.;A1;
geography;Geografie / Erdkunde;n.;A1;
get;bekommen / werden;v.;A1;
girl;Mädchen;n.;A1;
girlfriend;Freundin (Beziehung);n.;A1;
give;geben;v.;A1;
glass;Glas;n.;A1;
go;gehen;v.;A1;
good;gut;adj.;A1;
grandfather;Großvater;n.;A1;
grandmother;Großmutter;n.;A1;
grandparent;Großelternteil;n.;A1;
great;großartig;adj.;A1;
green;grün;adj., n.;A1;
grey;grau;adj., n.;A1;
group;Gruppe;n.;A1;
grow;wachsen;v.;A1;
guess;raten / Vermutung;v., n.;A1;
guitar;Gitarre;n.;A1;
gym;Fitnessstudio / Turnhalle;n.;A1;
hair;Haar / Haare;n.;A1;
hand;Hand;n.;A1;
happen;passieren / geschehen;v.;A1;
happy;glücklich;adj.;A1;
hard;hart / schwer;adj., adv.;A1;
hat;Hut / Mütze;n.;A1;
hate;hassen;v.;A1;
have;haben;v.;A1;
have to;müssen;modal v.;A1;
he;er;pron.;A1;
head;Kopf;n.;A1;
health;Gesundheit;n.;A1;
healthy;gesund;adj.;A1;
hear;hören;v.;A1;
help;helfen / Hilfe;v., n.;A1;
her;ihr / sie;pron., det.;A1;
here;hier;adv.;A1;
hey;hey;exclam.;A1;
hi;hi;exclam.;A1;
high;hoch;adj.;A1;
him;ihn / ihm;pron.;A1;
his;sein;det.;A1;
history;Geschichte;n.;A1;
hobby;Hobby;n.;A1;
holiday;Urlaub / Ferien;n.;A1;
home;Zuhause / nach Hause;n., adv.;A1;
homework;Hausaufgaben;n.;A1;
hope;hoffen / Hoffnung;v.;A1;
horse;Pferd;n.;A1;
hospital;Krankenhaus;n.;A1;
hot;heiß;adj.;A1;
hotel;Hotel;n.;A1;
hour;Stunde;n.;A1;
house;Haus;n.;A1;
how;wie;adv.;A1;
however;jedoch / wie auch immer;adv.;A1;
hundred;hundert;number;A1;
hungry;hungrig;adj.;A1;
husband;Ehemann;n.;A1;
I;ich;pron.;A1;
ice;Eis;n.;A1;
ice cream;Eis (Speiseeis);n.;A1;
idea;Idee;n.;A1;
if;wenn / falls;conj.;A1;
imagine;sich vorstellen;v.;A1;
important;wichtig;adj.;A1;
improve;verbessern;v.;A1;
in;in;prep., adv.;A1;
include;einschließen / beinhalten;v.;A1;
information;Information;n.;A1;
interest;Interesse;n., v.;A1;
interested;interessiert;adj.;A1;
interesting;interessant;adj.;A1;
internet;Internet;n.;A1;
interview;Interview;n., v.;A1;
into;in (hinein);prep.;A1;
introduce;vorstellen;v.;A1;
island;Insel;n.;A1;
it;es;pron.;A1;
its;sein / ihr;det.;A1;
jacket;Jacke;n.;A1;
January;Januar;n.;A1;
jeans;Jeans;n.;A1;
job;Job / Arbeit;n.;A1;
join;beitreten / verbinden;v.;A1;
journey;Reise;n.;A1;
juice;Saft;n.;A1;
July;Juli;n.;A1;
June;Juni;n.;A1;
just;gerade / nur;adv.;A1;
keep;behalten / halten;v.;A1;
key;Schlüssel;n., adj.;A1;
kilometre;Kilometer;n.;A1;
kind (type);Art / Sorte;n.;A1;
kitchen;Küche;n.;A1;
know;wissen / kennen;v.;A1;
land;Land / landen;n.;A1;
language;Sprache;n.;A1;
large;groß;adj.;A1;
last (final);letzte:r / endgültig;det.;A1;
late;spät;adj., adv.;A1;
later;später;adv.;A1;
laugh;lachen;v., n.;A1;
learn;lernen;v.;A1;
leave;verlassen / weggehen;v.;A1;
left;links;adj., adv., n.;A1;
leg;Bein;n.;A1;
lesson;Lektion / Unterrichtsstunde;n.;A1;
let;lassen;v.;A1;
letter;Brief / Buchstabe;n.;A1;
library;Bibliothek;n.;A1;
lie;lügen / liegen;v.;A1;
life;Leben;n.;A1;
like (similar);wie / ähnlich;prep.;A1;
like (find sb/sth pleasant);mögen;v.;A1;
line;Linie / Reihe;n.;A1;
lion;Löwe;n.;A1;
list;Liste;n., v.;A1;
listen;zuhören;v.;A1;
live;leben / wohnen;v.;A1;
local;örtlich / lokal;adj.;A1;
long;lang;adj., adv.;A1;
look;schauen / aussehen;v.;A1;
lose;verlieren;v.;A1;
lot;Menge / viel;pron., det., adv.;A1;
love;lieben / Liebe;n., v.;A1;
lunch;Mittagessen;n.;A1;
machine;Maschine;n.;A1;
magazine;Zeitschrift;n.;A1;
main;Haupt-;adj.;A1;
make;machen;v.;A1;
man;Mann;n.;A1;
map;Karte / Stadtplan;n.;A1;
March;März;n.;A1;
market;Markt;n.;A1;
married;verheiratet;adj.;A1;
match (contest/correspond);Spiel / passen;n., v.;A1;
May;Mai;n.;A1;
maybe;vielleicht;adv.;A1;
me;mich / mir;pron.;A1;
meal;Mahlzeit;n.;A1;
mean;bedeuten / gemein;v.;A1;
meaning;Bedeutung;n.;A1;
meat;Fleisch;n.;A1;
meet;treffen;v.;A1;
meeting;Treffen / Besprechung;n.;A1;
member;Mitglied;n.;A1;
menu;Speisekarte / Menü;n.;A1;
message;Nachricht;n.;A1;
metre;Meter;n.;A1;
midnight;Mitternacht;n.;A1;
mile;Meile;n.;A1;
milk;Milch;n.;A1;
million;Million;number;A1;
minute;Minute;n.;A1;
miss;verpassen / vermissen;v.;A1;
mistake;Fehler;n.;A1;
model;Modell;n.;A1;
modern;modern;adj.;A1;
moment;Moment;n.;A1;
Monday;Montag;n.;A1;
money;Geld;n.;A1;
month;Monat;n.;A1;
more det./pron.,;mehr;adv.;A1;
morning;Morgen;n.;A1;
most det./pron.,;am meisten / die meisten;adv.;A1;
mother;Mutter;n.;A1;
mountain;Berg;n.;A1;
mouse;Maus;n.;A1;
mouth;Mund;n.;A1;
move;bewegen / umziehen;v.;A1;
movie;Film;n.;A1;
much det./pron.,;viel;adv.;A1;
mum;Mama;n.;A1;
museum;Museum;n.;A1;
music;Musik;n.;A1;
must;müssen;modal v.;A1;
my;mein;det.;A1;
name;Name;n., v.;A1;
natural;natürlich;adj.;A1;
near;nahe;prep., adj., adv.;A1;
need;brauchen;v.;A1;
negative;negativ;adj.;A1;
neighbour;Nachbar:in;n.;A1;
never;nie;adv.;A1;
new;neu;adj.;A1;
news;Neuigkeiten / Nachrichten;n.;A1;
newspaper;Zeitung;n.;A1;
next;nächste:r;adj., adv.;A1;
next to;neben;prep.;A1;
nice;nett / schön;adj.;A1;
night;Nacht;n.;A1;
nine;neun;number;A1;
nineteen;neunzehn;number;A1;
ninety;neunzig;number;A1;
no;nein / kein;exclam., det.;A1;
no one;niemand;pron.;A1;
nobody;niemand;pron.;A1;
north;Norden;n., adj., adv.;A1;
nose;Nase;n.;A1;
not;nicht;adv.;A1;
note;Notiz / Note;n.;A1;
nothing;nichts;pron.;A1;
November;November;n.;A1;
now;jetzt;adv.;A1;
number;Zahl / Nummer;n.;A1;
nurse;Krankenpfleger:in;n.;A1;
object;Objekt / Gegenstand;n.;A1;
o’clock;Uhr (Uhrzeit);adv.;A1;
October;Oktober;n.;A1;
of;von;prep.;A1;
off;aus / weg;adv., prep.;A1;
office;Büro;n.;A1;
often;oft;adv.;A1;
oh;oh;exclam.;A1;
old;alt;adj.;A1;
on;auf / an;prep., adv.;A1;
once;einmal;adv.;A1;
one number/det.,;eins;pron.;A1;
onion;Zwiebel;n.;A1;
online;online;adj., adv.;A1;
only;nur;adj., adv.;A1;
open;offen / öffnen;adj., v.;A1;
opinion;Meinung;n.;A1;
opposite;Gegenteil / gegenüber;adj., n., prep., adv.;A1;
or;oder;conj.;A1;
orange;Orange / orange;n., adj.;A1;
order;Bestellung / bestellen;n., v.;A1;
our;unser;det.;A1;
outside;außen / draußen;adv.;A1;
over;über;prep., adv.;A1;
page;Seite;n.;A1;
paint;malen / Farbe;v., n.;A1;
painting;Gemälde / Malerei;n.;A1;
pair;Paar;n.;A1;
paper;Papier;n.;A1;
paragraph;Absatz;n.;A1;
parent;Elternteil;n.;A1;
park;Park / parken;n., v.;A1;
part;Teil;n.;A1;
partner;Partner:in;n.;A1;
party;Party / Partei;n.;A1;
passport;Reisepass;n.;A1;
past;Vergangenheit / vorbei;adj., n., prep.;A1;
pay;bezahlen;v.;A1;
pen;Stift / Kuli;n.;A1;
pencil;Bleistift;n.;A1;
people;Leute / Menschen;n.;A1;
pepper;Pfeffer / Paprika;n.;A1;
perfect;perfekt;adj.;A1;
period;Zeitraum / Punkt;n.;A1;
person;Person;n.;A1;
personal;persönlich;adj.;A1;
phone;Telefon / Handy;n., v.;A1;
photo;Foto;n.;A1;
photograph;Foto / Fotografie;n.;A1;
phrase;Phrase / Wendung;n.;A1;
piano;Klavier;n.;A1;
picture;Bild;n.;A1;
piece;Stück;n.;A1;
pig;Schwein;n.;A1;
pink;rosa;adj., n.;A1;
place;Ort / Platz;n.;A1;
plan;Plan / planen;n., v.;A1;
plane;Flugzeug;n.;A1;
plant;Pflanze / pflanzen;n.;A1;
play;spielen;v., n.;A1;
player;Spieler:in;n.;A1;
please;bitte;exclam.;A1;
point;Punkt / zeigen;n.;A1;
police;Polizei;n.;A1;
policeman;Polizist;n.;A1;
pool;Pool / Schwimmbecken;n.;A1;
poor;arm;adj.;A1;
popular;beliebt / populär;adj.;A1;
positive;positiv;adj.;A1;
possible;möglich;adj.;A1;
post;Post / Beitrag;n., v.;A1;
potato;Kartoffel;n.;A1;
pound;Pfund;n.;A1;
practice;Übung / Praxis;n.;A1;
practise;üben;v.;A1;
prefer;bevorzugen;v.;A1;
prepare;vorbereiten;v.;A1;
present;Geschenk / anwesend;adj., n.;A1;
pretty;hübsch / ziemlich;adj., adv.;A1;
price;Preis;n.;A1;
probably;wahrscheinlich;adv.;A1;
problem;Problem;n.;A1;
product;Produkt;n.;A1;
programme;Programm / Sendung;n.;A1;
project;Projekt;n.;A1;
purple;lila / violett;adj., n.;A1;
put;legen / setzen;v.;A1;
quarter;Viertel;n.;A1;
question;Frage;n.;A1;
quick;schnell;adj.;A1;
quickly;schnell;adv.;A1;
quiet;leise / ruhig;adj.;A1;
quite;ziemlich;adv.;A1;
radio;Radio;n.;A1;
rain;Regen / regnen;n., v.;A1;
read;lesen;v.;A1;
reader;Leser:in;n.;A1;
reading;Lesen / Lektüre;n.;A1;
ready;bereit / fertig;adj.;A1;
real;echt / real;adj.;A1;
really;wirklich;adv.;A1;
reason;Grund;n.;A1;
red;rot;adj., n.;A1;
relax;entspannen;v.;A1;
remember;sich erinnern;v.;A1;
repeat;wiederholen;v.;A1;
report;Bericht / berichten;n.;A1;
restaurant;Restaurant;n.;A1;
result;Ergebnis / Resultat;n.;A1;
return;zurückkehren / Rückkehr;v., n.;A1;
rice;Reis;n.;A1;
rich;reich;adj.;A1;
ride;reiten / fahren;v.;A1;
right;richtig / rechts;adj., adv., n.;A1;
river;Fluss;n.;A1;
road;Straße;n.;A1;
room;Zimmer / Raum;n.;A1;
routine;Routine;n.;A1;
rule;Regel / regieren;n.;A1;
run;laufen / rennen;v.;A1;
sad;traurig;adj.;A1;
salad;Salat;n.;A1;
salt;Salz;n.;A1;
same;gleich / derselbe;adj., pron., adv.;A1;
sandwich;Sandwich;n.;A1;
Saturday;Samstag;n.;A1;
say;sagen;v.;A1;
school;Schule;n.;A1;
science;Wissenschaft;n.;A1;
scientist;Wissenschaftler:in;n.;A1;
sea;Meer / See (das);n.;A1;
second (unit of time);Sekunde;n.;A1;
section;Abschnitt;n.;A1;
see;sehen;v.;A1;
sell;verkaufen;v.;A1;
send;senden / schicken;v.;A1;
sentence;Satz;n.;A1;
September;September;n.;A1;
seven;sieben;number;A1;
seventeen;siebzehn;number;A1;
seventy;siebzig;number;A1;
share;teilen;v.;A1;
she;sie;pron.;A1;
sheep;Schaf;n.;A1;
shirt;Hemd;n.;A1;
shoe;Schuh;n.;A1;
shop;Geschäft / Laden;n., v.;A1;
shopping;Einkaufen;n.;A1;
short;kurz;adj.;A1;
should;sollte;modal v.;A1;
show;zeigen / Show;v., n.;A1;
shower;Dusche;n.;A1;
sick;krank;adj.;A1;
similar;ähnlich;adj.;A1;
sing;singen;v.;A1;
singer;Sänger:in;n.;A1;
sister;Schwester;n.;A1;
sit;sitzen;v.;A1;
situation;Situation / Lage;n.;A1;
six;sechs;number;A1;
sixteen;sechzehn;number;A1;
sixty;sechzig;number;A1;
skill;Fähigkeit / Kompetenz;n.;A1;
skirt;Rock;n.;A1;
sleep;schlafen;v.;A1;
slow;langsam;adj.;A1;
small;klein;adj.;A1;
snake;Schlange;n.;A1;
snow;Schnee / schneien;n., v.;A1;
so;so / also;adv., conj.;A1;
some;einige / etwas;det., pron.;A1;
somebody;jemand;pron.;A1;
someone;jemand;pron.;A1;
something;etwas;pron.;A1;
sometimes;manchmal;adv.;A1;
son;Sohn;n.;A1;
song;Lied;n.;A1;
soon;bald;adv.;A1;
sorry;Entschuldigung / leid;adj., exclam.;A1;
sound;Geräusch / klingen;n., v.;A1;
soup;Suppe;n.;A1;
south;Süden;n., adj., adv.;A1;
space;Raum / Weltraum;n.;A1;
speak;sprechen;v.;A1;
special;besonders / Spezial-;adj.;A1;
spell;buchstabieren;v.;A1;
spelling;Rechtschreibung;n.;A1;
spend;ausgeben / verbringen;v.;A1;
sport;Sport;n.;A1;
spring;Frühling / Quelle;n.;A1;
stand;stehen;v.;A1;
star;Stern / Star;n.;A1;
start;Start / starten;v.;A1;
statement;Aussage / Erklärung;n.;A1;
station;Bahnhof / Station;n.;A1;
stay;bleiben;v.;A1;
still;noch / still;adv.;A1;
stop;anhalten / Haltestelle;v., n.;A1;
story;Geschichte / Erzählung;n.;A1;
street;Straße;n.;A1;
strong;stark;adj.;A1;
student;Schüler:in / Student:in;n.;A1;
study;lernen / Studium;n., v.;A1;
style;Stil;n.;A1;
subject;Fach / Thema;n.;A1;
success;Erfolg;n.;A1;
sugar;Zucker;n.;A1;
summer;Sommer;n.;A1;
sun;Sonne;n.;A1;
Sunday;Sonntag;n.;A1;
supermarket;Supermarkt;n.;A1;
sure;sicher;adj.;A1;
sweater;Pullover;n.;A1;
swim;schwimmen;v.;A1;
swimming;Schwimmen;n.;A1;
table;Tisch;n.;A1;
take;nehmen;v.;A1;
talk;reden / Gespräch;v.;A1;
tall;groß (Person);adj.;A1;
taxi;Taxi;n.;A1;
tea;Tee;n.;A1;
teach;unterrichten;v.;A1;
teacher;Lehrer:in;n.;A1;
team;Team / Mannschaft;n.;A1;
teenager;Teenager / Jugendliche:r;n.;A1;
telephone;Telefon;n., v.;A1;
television;Fernseher / Fernsehen;n.;A1;
tell;erzählen / sagen;v.;A1;
ten;zehn;number;A1;
tennis;Tennis;n.;A1;
terrible;schrecklich;adj.;A1;
test;Test / testen;n., v.;A1;
text;Text / SMS schreiben;n.;A1;
than;als (Vergleich);conj.;A1;
thank;danken;v.;A1;
thanks;Danke;exclam., n.;A1;
that;das / dass;det., pron., conj.;A1;
the;der / die / das;definite article;A1;
theatre;Theater;n.;A1;
their;ihr (Plural);det.;A1;
them;sie / ihnen;pron.;A1;
then;dann;adv.;A1;
there;dort / da;adv.;A1;
they;sie (Plural);pron.;A1;
thing;Sache / Ding;n.;A1;
think;denken;v.;A1;
third;dritte:r;number;A1;
thirsty;durstig;adj.;A1;
thirteen;dreizehn;number;A1;
thirty;dreißig;number;A1;
thousand;tausend;number;A1;
three;drei;number;A1;
through;durch;prep., adv.;A1;
Thursday;Donnerstag;n.;A1;
ticket;Ticket / Fahrkarte;n.;A1;
time;Zeit;n.;A1;
tired;müde;adj.;A1;
title;Titel;n.;A1;
today;heute;adv., n.;A1;
together;zusammen;adv.;A1;
toilet;Toilette;n.;A1;
tomato;Tomate;n.;A1;
tomorrow;morgen (Tag);adv., n.;A1;
tonight;heute Abend;adv., n.;A1;
too;zu / auch;adv.;A1;
tooth;Zahn;n.;A1;
topic;Thema;n.;A1;
tourist;Tourist:in;n.;A1;
town;Stadt / Kleinstadt;n.;A1;
traffic;Verkehr;n.;A1;
train;Zug / trainieren;n.;A1;
travel;reisen / Reise;v., n.;A1;
tree;Baum;n.;A1;
trip;Reise / Ausflug;n.;A1;
trousers;Hose;n.;A1;
true;wahr;adj.;A1;
try;versuchen;v.;A1;
T-shirt;T-Shirt;n.;A1;
Tuesday;Dienstag;n.;A1;
turn;drehen / Wendung;v., n.;A1;
TV;Fernseher;n.;A1;
twelve;zwölf;number;A1;
twenty;zwanzig;number;A1;
twice;zweimal;adv.;A1;
two;zwei;number;A1;
type;Art / tippen;n.;A1;
umbrella;Regenschirm;n.;A1;
uncle;Onkel;n.;A1;
under;unter;prep., adv.;A1;
understand;verstehen;v.;A1;
university;Universität;n.;A1;
up;hinauf / oben;adv., prep.;A1;
upstairs;oben (Stockwerk);adv.;A1;
us;uns;pron.;A1;
use;benutzen;v.;A1;
useful;nützlich;adj.;A1;
usually;normalerweise;adv.;A1;
vacation;Urlaub / Ferien;n.;A1;
vegetable;Gemüse;n.;A1;
very;sehr;adv.;A1;
video;Video;n.;A1;
village;Dorf;n.;A1;
visit;besuchen / Besuch;v., n.;A1;
visitor;Besucher:in;n.;A1;
wait;warten;v.;A1;
waiter;Kellner;n.;A1;
wake;aufwachen;v.;A1;
walk;gehen / Spaziergang;v., n.;A1;
wall;Wand / Mauer;n.;A1;
want;wollen;v.;A1;
warm;warm;adj.;A1;
wash;waschen;v.;A1;
