wort;übersetzung;wortart;niveau;thema
burn;brennen;n.;B2;
bush;Busch;n.;B2;
but;aber;prep.;B2;
cable;Kabel;n.;B2;
calculate;berechnen;v.;B2;
cancel;absagen / stornieren;v.;B2;
cancer;Krebs (Krankheit);n.;B2;
capable;fähig;adj.;B2;
capacity;Kapazität / Fassungsvermögen;n.;B2;
capture;fangen / einfangen;v., n.;B2;
cast;Besetzung / werfen;n., v.;B2;
catch;fangen;n.;B2;
cell;Zelle;n.;B2;
chain;Kette;v.;B2;
chair;Stuhl / Vorsitz;v.;B2;
chairman;Vorsitzender;n.;B2;
challenge;Herausforderung;v.;B2;
characteristic;Eigenschaft / charakteristisch;n., adj.;B2;
chart;Diagramm / Tabelle;v.;B2;
chief;Hauptchef / Häuptling;adj., n.;B2;
circumstance;Umstand;n.;B2;
cite;zitieren;v.;B2;
citizen;Bürger:in;n.;B2;
civil;zivil / bürgerlich;adj.;B2;
classic;klassisch / Klassiker;adj., n.;B2;
close;schließen / nah;n.;B2;
closely;eng / genau;adv.;B2;
collapse;zusammenbrechen / Zusammenbruch;v., n.;B2;
combination;Kombination;n.;B2;
comfort;Komfort / Trost;n., v.;B2;
command;Befehl / befehlen;n., v.;B2;
commission;Kommission / Auftrag;n., v.;B2;
commitment;Engagement / Verpflichtung;n.;B2;
committee;Ausschuss / Komitee;n.;B2;
commonly;üblicherweise;adv.;B2;
complex;komplex;n.;B2;
complicated;kompliziert;adj.;B2;
component;Komponente / Bestandteil;n.;B2;
concentration;Konzentration;n.;B2;
concept;Konzept;n.;B2;
concern;Sorge / betreffen;n., v.;B2;
concerned;besorgt / betroffen;adj.;B2;
conduct;durchführen / Verhalten;v., n.;B2;
confidence;Selbstvertrauen / Vertrauen;n.;B2;
conflict;Konflikt;n., v.;B2;
confusing;verwirrend;adj.;B2;
conscious;bewusst;adj.;B2;
conservative;konservativ;adj., n.;B2;
consideration;Überlegung / Rücksicht;n.;B2;
consistent;konsequent / einheitlich;adj.;B2;
constant;konstant / ständig;adj.;B2;
constantly;ständig;adv.;B2;
construct;bauen / konstruieren;v.;B2;
construction;Bau / Konstruktion;n.;B2;
contemporary;zeitgenössisch;adj.;B2;
contest;Wettbewerb;n., v.;B2;
contract;Vertrag;n., v.;B2;
contribute;beitragen;v.;B2;
contribution;Beitrag;n.;B2;
convert;umwandeln / konvertieren;v.;B2;
convinced;überzeugt;adj.;B2;
core;Kern;n., adj.;B2;
corporate;Unternehmens- / Konzern-;adj.;B2;
council;Rat / Gemeinderat;n.;B2;
county;Landkreis;n.;B2;
courage;Mut;n.;B2;
crash;Unfall / abstürzen;n., v.;B2;
creation;Schöpfung / Erschaffung;n.;B2;
creature;Geschöpf / Lebewesen;n.;B2;
credit;Kredit / Anerkennung;v.;B2;
crew;Besatzung / Crew;n.;B2;
crisis;Krise;n.;B2;
criterion;Kriterium;n.;B2;
critic;Kritiker:in;n.;B2;
critical;kritisch;adj.;B2;
criticism;Kritik;n.;B2;
criticize;kritisieren;v.;B2;
crop;Ernte / Feldfrucht;n.;B2;
crucial;entscheidend;adj.;B2;
cry;weinen / rufen;n.;B2;
cure;Heilmittel / heilen;v., n.;B2;
current;aktuell / Strömung;n.;B2;
curve;Kurve;n., v.;B2;
curved;gebogen;adj.;B2;
date;Datum / Verabredung;v.;B2;
debate;Debatte / debattieren;n., v.;B2;
debt;Schuld(en);n.;B2;
decent;anständig;adj.;B2;
declare;erklären / deklarieren;v.;B2;
decline;ablehnen / Rückgang;v., n.;B2;
decoration;Dekoration;n.;B2;
decrease;abnehmen / Rückgang;v., n.;B2;
deeply;tief;adv.;B2;
defeat;Niederlage / besiegen;v., n.;B2;
defence;Verteidigung;n.;B2;
defend;verteidigen;v.;B2;
delay;Verzögerung / verzögern;v., n.;B2;
deliberate;absichtlich / überlegt;adj.;B2;
deliberately;absichtlich;adv.;B2;
delight;Freude / erfreuen;v., n.;B2;
delighted;hocherfreut;adj.;B2;
delivery;Lieferung;n.;B2;
demand;Forderung / verlangen;n., v.;B2;
demonstrate;zeigen / demonstrieren;v.;B2;
deny;leugnen / bestreiten;v.;B2;
depressed;deprimiert / niedergeschlagen;adj.;B2;
depressing;deprimierend;adj.;B2;
depth;Tiefe;n.;B2;
desert;Wüste;v.;B2;
deserve;verdienen;v.;B2;
desire;Wunsch / Begierde;n., v.;B2;
desperate;verzweifelt;adj.;B2;
detail;Detail;v.;B2;
detailed;detailliert;adj.;B2;
detect;entdecken / aufspüren;v.;B2;
dig;graben;v.;B2;
disc;Scheibe / Disk;n.;B2;
discipline;Disziplin;n.;B2;
discount;Rabatt;v.;B2;
dishonest;unehrlich;adj.;B2;
dismiss;abweisen / entlassen;v.;B2;
display;Anzeige / zeigen;v., n.;B2;
distribute;verteilen;v.;B2;
distribution;Verteilung / Vertrieb;n.;B2;
district;Bezirk;n.;B2;
divide;teilen;n.;B2;
division;Teilung / Abteilung;n.;B2;
document;Dokument;v.;B2;
domestic;häuslich / inländisch;adj.;B2;
dominate;dominieren;v.;B2;
downwards;abwärts / nach unten;adv.;B2;
dozen;Dutzend;n., det.;B2;
draft;Entwurf;n., v.;B2;
drag;ziehen / schleppen;v.;B2;
dramatic;dramatisch;adj.;B2;
edit;bearbeiten;v.;B2;
edition;Ausgabe / Edition;n.;B2;
efficient;effizient;adj.;B2;
elderly;ältere Menschen;adj.;B2;
elect;wählen;v.;B2;
elsewhere;anderswo;adv.;B2;
emerge;auftauchen / hervorgehen;v.;B2;
emotional;emotional;adj.;B2;
emphasis;Betonung / Schwerpunkt;n.;B2;
emphasize;betonen;v.;B2;
enable;ermöglichen;v.;B2;
encounter;begegnen / Begegnung;v., n.;B2;
engage;engagieren / beschäftigen;v.;B2;
enhance;verbessern / steigern;v.;B2;
enquiry;Anfrage;n.;B2;
ensure;sicherstellen;v.;B2;
enthusiasm;Begeisterung;n.;B2;
enthusiastic;begeistert;adj.;B2;
entire;gesamt / ganz;adj.;B2;
entirely;völlig / ganz;adv.;B2;
equal;gleich;n.;B2;
establish;etablieren / gründen;v.;B2;
estate;Anwesen / Nachlass;n.;B2;
estimate;schätzen / Schätzung;v., n.;B2;
ethical;ethisch;adj.;B2;
evaluate;bewerten;v.;B2;
even;sogar / eben;adj.;B2;
evil;böse / Böses;adj., n.;B2;
examination;Prüfung / Untersuchung;n.;B2;
excuse;Ausrede / entschuldigen;n., v.;B2;
executive;Führungskraft / leitend;n., adj.;B2;
existence;Existenz;n.;B2;
expectation;Erwartung;n.;B2;
expense;Ausgabe / Kosten;n.;B2;
exploration;Erforschung;n.;B2;
expose;aussetzen / aufdecken;v.;B2;
extend;ausdehnen / verlängern;v.;B2;
extent;Ausmaß / Umfang;n.;B2;
external;äußerlich / extern;adj.;B2;
extraordinary;außergewöhnlich;adj.;B2;
extreme;extrem;n.;B2;
facility;Einrichtung / Anlage;n.;B2;
failure;Versagen / Misserfolg;n.;B2;
faith;Glaube;n.;B2;
fault;Schuld / Fehler;n.;B2;
favour;Gefallen;v.;B2;
feather;Feder;n.;B2;
fee;Gebühr;n.;B2;
feed;füttern;n.;B2;
feedback;Feedback / Rückmeldung;n.;B2;
feel;fühlen;n.;B2;
fellow;Kerl / Kollege;adj.;B2;
figure;Zahl / Figur;v.;B2;
file;Datei / Akte;v.;B2;
finance;Finanzen / finanzieren;n., v.;B2;
finding;Befund / Ergebnis;n.;B2;
firm;Firma / fest;n.;B2;
fix;reparieren / festlegen;n.;B2;
flame;Flamme;n.;B2;
flash;blitzen / Blitz;n., v.;B2;
flexible;flexibel;adj.;B2;
float;schwimmen / treiben;v.;B2;
fold;falten;n.;B2;
folding;klappbar;adj.;B2;
following;folgend;prep.;B2;
forgive;vergeben / verzeihen;v.;B2;
former;ehemalig / früher;adj.;B2;
fortune;Vermögen / Glück;n.;B2;
forward;vorwärts;adj.;B2;
found;gründen;v.;B2;
free;frei;v.;B2;
freedom;Freiheit;n.;B2;
frequency;Häufigkeit / Frequenz;n.;B2;
fuel;Treibstoff;v.;B2;
fully;vollständig;adv.;B2;
function;Funktion;v.;B2;
fund;Fonds / finanzieren;n., v.;B2;
fundamental;grundlegend;adj.;B2;
funding;Finanzierung;n.;B2;
furthermore;außerdem;adv.;B2;
gain;gewinnen / Gewinn;v., n.;B2;
gang;Bande / Gang;n.;B2;
generate;erzeugen / generieren;v.;B2;
genre;Genre;n.;B2;
govern;regieren;v.;B2;
grab;greifen / packen;v.;B2;
grade;Klasse / Note;v.;B2;
gradually;allmählich;adv.;B2;
grand;großartig;adj.;B2;
grant;Zuschuss / gewähren;v., n.;B2;
guarantee;Garantie / garantieren;v., n.;B2;
handle;Griff / handhaben;v., n.;B2;
harm;Schaden / schaden;n., v.;B2;
harmful;schädlich;adj.;B2;
hearing;Gehör / Anhörung;n.;B2;
heaven;Himmel (paradies.);n.;B2;
heel;Ferse / Absatz;n.;B2;
hell;Hölle;n.;B2;
hesitate;zögern;v.;B2;
high;hoch;n.;B2;
hire;einstellen / mieten;n.;B2;
hold;halten;n.;B2;
hollow;hohl;adj.;B2;
holy;heilig;adj.;B2;
honour;Ehre / ehren;n., v.;B2;
host;Gastgeber:in;v.;B2;
house;Haus / unterbringen;v.;B2;
household;Haushalt;n.;B2;
housing;Wohnungen / Unterbringung;n.;B2;
humorous;humorvoll;adj.;B2;
humour;Humor;n.;B2;
hunt;jagen;n.;B2;
hunting;Jagd;n.;B2;
hurt;verletzen / weh tun;n.;B2;
ideal;ideal;n.;B2;
illustrate;veranschaulichen;v.;B2;
illustration;Illustration;n.;B2;
imagination;Vorstellungskraft;n.;B2;
impatient;ungeduldig;adj.;B2;
imply;andeuten / implizieren;v.;B2;
impose;auferlegen;v.;B2;
impress;beeindrucken;v.;B2;
impressed;beeindruckt;adj.;B2;
inch;Zoll (Maß);n.;B2;
incident;Vorfall / Zwischenfall;n.;B2;
income;Einkommen;n.;B2;
increasingly;zunehmend;adv.;B2;
industrial;industriell;adj.;B2;
infection;Infektion;n.;B2;
inform;informieren;v.;B2;
initial;anfänglich;adj.;B2;
initially;anfangs;adv.;B2;
initiative;Initiative;n.;B2;
inner;innere:r;adj.;B2;
insight;Einblick / Erkenntnis;n.;B2;
insist;bestehen (auf);v.;B2;
inspire;inspirieren;v.;B2;
install;installieren;v.;B2;
instance;Beispiel / Instanz;n.;B2;
institute;Institut;n.;B2;
institution;Institution;n.;B2;
insurance;Versicherung;n.;B2;
intended;beabsichtigt;adj.;B2;
intense;intensiv;adj.;B2;
internal;innerlich / intern;adj.;B2;
interpret;interpretieren / dolmetschen;v.;B2;
interrupt;unterbrechen;v.;B2;
investigation;Untersuchung;n.;B2;
investment;Investition;n.;B2;
issue;Ausgabe / Problem;v.;B2;
joy;Freude;n.;B2;
judgement;Urteil;n.;B2;
junior;jüngere:r / Junior;adj.;B2;
justice;Gerechtigkeit / Justiz;n.;B2;
justify;rechtfertigen;v.;B2;
labour;Arbeit / Arbeitskraft;n.;B2;
landscape;Landschaft;n.;B2;
largely;größtenteils;adv.;B2;
latest;neueste:r;n.;B2;
launch;starten / Markteinführung;v., n.;B2;
leadership;Führung;n.;B2;
league;Liga;n.;B2;
lean;lehnen / mager;v.;B2;
leave;verlassen / Urlaub;n.;B2;
level;Niveau / Stufe;v.;B2;
licence;Lizenz / Führerschein;n.;B2;
limited;begrenzt;adj.;B2;
line;Linie / Zeile;v.;B2;
lively;lebhaft;adj.;B2;
load;Last / laden;n., v.;B2;
loan;Darlehen;n.;B2;
logical;logisch;adj.;B2;
long-term;langfristig;adj., adv.;B2;
loose;lose / locker;adj.;B2;
lord;Herr / Lord;n.;B2;
low;niedrig;n.;B2;
lower;senken / niedriger;v.;B2;
lung;Lunge;n.;B2;
maintain;aufrechterhalten / warten;v.;B2;
majority;Mehrheit;n.;B2;
make;machen / Marke;n.;B2;
map;Karte (Land);v.;B2;
mass;Masse;n., adj.;B2;
massive;massiv / riesig;adj.;B2;
master;Meister:in / meistern;n., v.;B2;
matching;passend / übereinstimmend;adj.;B2;
material;Material;adj.;B2;
maximum;Maximum;adj., n.;B2;
means;Mittel / Weg;n.;B2;
measurement;Messung;n.;B2;
medium;mittel / Medium;n.;B2;
melt;schmelzen;v.;B2;
military;militärisch / Militär;adj., n.;B2;
mineral;Mineral;n.;B2;
minimum;Minimum;adj., n.;B2;
minister;Minister:in;n.;B2;
minor;geringfügig;adj.;B2;
minority;Minderheit;n.;B2;
mission;Mission / Auftrag;n.;B2;
mistake;Fehler;v.;B2;
mixed;gemischt;adj.;B2;
model;Modell;v.;B2;
modify;modifizieren / ändern;v.;B2;
monitor;Monitor / überwachen;n., v.;B2;
moral;moralisch;adj., n.;B2;
motor;Motor;n., adj.;B2;
mount;besteigen / Berg;v.;B2;
multiple;mehrfach;adj.;B2;
multiply;multiplizieren;v.;B2;
mysterious;geheimnisvoll;adj.;B2;
narrow;schmal / eng;v.;B2;
national;national;n.;B2;
neat;ordentlich;adj.;B2;
negative;negativ;n.;B2;
nerve;Nerv;n.;B2;
nevertheless;trotzdem;adv.;B2;
nightmare;Albtraum;n.;B2;
notion;Vorstellung / Idee;n.;B2;
numerous;zahlreich;adj.;B2;
obey;gehorchen;v.;B2;
object;Objekt / einwenden;v.;B2;
objective;Ziel / objektiv;n., adj.;B2;
obligation;Verpflichtung;n.;B2;
observation;Beobachtung;n.;B2;
observe;beobachten;v.;B2;
obtain;erhalten;v.;B2;
occasionally;gelegentlich;adv.;B2;
offence;Verstoß / Straftat;n.;B2;
offend;beleidigen;v.;B2;
offensive;anstößig / Offensive;adj.;B2;
official;offiziell;n.;B2;
opening;Öffnung / Eröffnung;n.;B2;
operate;bedienen / operieren;v.;B2;
opponent;Gegner:in;n.;B2;
oppose;sich widersetzen;v.;B2;
opposed;entgegengesetzt;adj.;B2;
opposition;Opposition / Gegensatz;n.;B2;
organ;Organ / Orgel;n.;B2;
origin;Ursprung / Herkunft;n.;B2;
otherwise;andernfalls / sonst;adv.;B2;
outcome;Ergebnis / Resultat;n.;B2;
outer;äußere:r;adj.;B2;
outline;Umriss / skizzieren;n., v.;B2;
overall;insgesamt;adj., adv.;B2;
owe;schulden;v.;B2;
pace;Tempo / Schritt;n., v.;B2;
package;Paket;v.;B2;
panel;Tafel / Gremium;n.;B2;
parliament;Parlament;n.;B2;
participant;Teilnehmer:in;n.;B2;
partly;teilweise;adv.;B2;
passage;Passage / Durchgang;n.;B2;
patient;Patient:in / geduldig;adj.;B2;
pension;Rente / Pension;n.;B2;
permanent;dauerhaft / fest;adj.;B2;
permit;erlauben / Genehmigung;v., n.;B2;
perspective;Perspektive;n.;B2;
phase;Phase;n.;B2;
phenomenon;Phänomen;n.;B2;
philosophy;Philosophie;n.;B2;
pick;auswählen / pflücken;n.;B2;
picture;Bild;v.;B2;
pile;Stapel / Haufen;n., v.;B2;
pitch;Spielfeld / Tonhöhe;n.;B2;
plain;schlicht / Ebene;adj.;B2;
plot;Handlung / Grundstück;v.;B2;
plus;plus;adj., n., conj.;B2;
pointed;spitz;adj.;B2;
popularity;Beliebtheit;n.;B2;
pose;posieren / darstellen;v.;B2;
position;Position;v.;B2;
positive;positiv;n.;B2;
possess;besitzen;v.;B2;
potential;Potenzial / potenziell;adj., n.;B2;
power;Macht / Energie;v.;B2;
praise;loben / Lob;n., v.;B2;
pregnant;schwanger;adj.;B2;
preparation;Vorbereitung;n.;B2;
presence;Anwesenheit;n.;B2;
preserve;bewahren / konservieren;v.;B2;
price;Preis;v.;B2;
prime;Haupt- / erstklassig;adj.;B2;
principle;Prinzip / Grundsatz;n.;B2;
print;drucken;n.;B2;
priority;Priorität;n.;B2;
privacy;Privatsphäre;n.;B2;
procedure;Verfahren / Prozedur;n.;B2;
process;Prozess / verarbeiten;v.;B2;
produce;produzieren;n.;B2;
professional;professionell;n.;B2;
progress;Fortschritt;v.;B2;
project;Projekt;v.;B2;
proof;Beweis;n.;B2;
proposal;Vorschlag;n.;B2;
propose;vorschlagen;v.;B2;
prospect;Aussicht / Perspektive;n.;B2;
protection;Schutz;n.;B2;
psychologist;Psycholog:in;n.;B2;
psychology;Psychologie;n.;B2;
publication;Veröffentlichung;n.;B2;
pupil;Schüler:in / Pupille;n.;B2;
purchase;Kauf / kaufen;n., v.;B2;
pure;rein / pur;adj.;B2;
pursue;verfolgen;v.;B2;
range;Reichweite / Auswahl;v.;B2;
rank;Rang;n., v.;B2;
rapid;schnell / rasch;adj.;B2;
rapidly;schnell;adv.;B2;
rate;Rate / bewerten;v.;B2;
raw;roh;adj.;B2;
reach;erreichen;n.;B2;
realistic;realistisch;adj.;B2;
reasonable;vernünftig / angemessen;adj.;B2;
recall;sich erinnern / zurückrufen;v.;B2;
recover;sich erholen;v.;B2;
reduction;Reduzierung;n.;B2;
regard;betrachten / Hinsicht;v., n.;B2;
regional;regional;adj.;B2;
register;registrieren;v., n.;B2;
regret;bedauern / Bedauern;v., n.;B2;
regulation;Vorschrift / Regulierung;n.;B2;
relatively;relativ;adv.;B2;
relevant;relevant;adj.;B2;
relief;Erleichterung;n.;B2;
rely;sich verlassen;v.;B2;
remark;Bemerkung;n., v.;B2;
representative;Vertreter:in / repräsentativ;n., adj.;B2;
reputation;Ruf / Reputation;n.;B2;
requirement;Anforderung;n.;B2;
rescue;Rettung / retten;v., n.;B2;
reserve;reservieren / Reserve;n., v.;B2;
resident;Bewohner:in / Anwohner:in;n., adj.;B2;
resist;widerstehen;v.;B2;
resolve;lösen / beschließen;v.;B2;
resort;Erholungsort / zurückgreifen;n.;B2;
retain;behalten / beibehalten;v.;B2;
reveal;enthüllen / offenbaren;v.;B2;
revolution;Revolution;n.;B2;
reward;Belohnung / belohnen;n., v.;B2;
rhythm;Rhythmus;n.;B2;
rid;loswerden;v.;B2;
root;Wurzel;n.;B2;
round;rund / Runde;n.;B2;
routine;Routine;adj.;B2;
rub;reiben;v.;B2;
rubber;Gummi / Radiergummi;n., adj.;B2;
rural;ländlich;adj.;B2;
rush;eilen / Eile;v., n.;B2;
sample;Probe / Stichprobe;v.;B2;
satellite;Satellit;n.;B2;
satisfied;zufrieden;adj.;B2;
satisfy;befriedigen;v.;B2;
saving;Ersparnis;n.;B2;
scale;Skala / Waage / Ausmaß;n.;B2;
schedule;Zeitplan;v.;B2;
scheme;Plan / Schema;n.;B2;
scream;schreien;v., n.;B2;
screen;Bildschirm;v.;B2;
seat;Sitz;v.;B2;
sector;Sektor / Bereich;n.;B2;
secure;sicher / sichern;v., adj.;B2;
seek;suchen;v.;B2;
select;auswählen;v.;B2;
selection;Auswahl;n.;B2;
self;Selbst;n.;B2;
senior;höher / älter / Senior:in;adj.;B2;
sense;Sinn;v.;B2;
sensitive;empfindlich / sensibel;adj.;B2;
sentence;Satz / Urteil;v.;B2;
sequence;Abfolge / Sequenz;n.;B2;
session;Sitzung / Session;n.;B2;
settle;regeln / sich niederlassen;v.;B2;
severe;schwer / streng;adj.;B2;
shade;Schatten / Farbton;n.;B2;
shadow;Schatten;n.;B2;
shallow;flach / oberflächlich;adj.;B2;
shame;Schande / Scham;n.;B2;
shape;Form;v.;B2;
shelter;Unterkunft / Schutz;n., v.;B2;
shift;Schicht / Verschiebung;v.;B2;
ship;Schiff / verschiffen;v.;B2;
shock;Schock / schockieren;n., v.;B2;
shocked;schockiert;adj.;B2;
shooting;Schießen / Dreharbeiten;n.;B2;
shot;Schuss / Aufnahme;n.;B2;
significant;bedeutend / signifikant;adj.;B2;
significantly;deutlich / erheblich;adv.;B2;
silence;Stille / Schweigen;n.;B2;
silk;Seide;n.;B2;
sincere;aufrichtig;adj.;B2;
slave;Sklave / Sklavin;n.;B2;
slide;rutschen / Rutsche;v., n.;B2;
slight;leicht / gering;adj.;B2;
slip;ausrutschen / Zettel;v.;B2;
slope;Hang / Steigung;n., v.;B2;
solar;Solar- / Sonnen-;adj.;B2;
somewhat;etwas / einigermaßen;adv.;B2;
soul;Seele;n.;B2;
specialist;Spezialist:in;n., adj.;B2;
species;Art / Spezies;n.;B2;
speed;Geschwindigkeit;v.;B2;
spiritual;spirituell / geistig;adj.;B2;
split;spalten / aufteilen;v., n.;B2;
sponsor;sponsern / Sponsor;v., n.;B2;
spot;Fleck / entdecken;v.;B2;
spread;verbreiten;n.;B2;
stable;stabil / Stall;adj.;B2;
stage;Bühne / Phase;v.;B2;
stand;stehen / Stand;n.;B2;
stare;starren;v.;B2;
status;Status;n.;B2;
steady;stetig / gleichmäßig;adj.;B2;
steel;Stahl;n.;B2;
steep;steil;adj.;B2;
step;Schritt;v.;B2;
sticky;klebrig;adj.;B2;
stiff;steif;adj.;B2;
stock;Vorrat / Aktie;n.;B2;
stream;Strom / Bach / streamen;n.;B2;
stretch;strecken / Strecke;v., n.;B2;
strict;streng;adj.;B2;
strike;Streik / schlagen;v., n.;B2;
structure;Struktur;v.;B2;
struggle;kämpfen / Kampf;v., n.;B2;
stuff;Zeug / Sachen;v.;B2;
subject;Thema / Fach;adj.;B2;
submit;einreichen;v.;B2;
sum;Summe;n., v.;B2;
surgery;Operation / Praxis;n.;B2;
surround;umgeben;v.;B2;
surrounding;umgebend;adj.;B2;
survey;Umfrage;v.;B2;
suspect;verdächtigen / Verdächtige:r;v., n.;B2;
swear;schwören / fluchen;v.;B2;
sweep;fegen;v.;B2;
switch;Schalter / wechseln;n.;B2;
sympathy;Mitgefühl;n.;B2;
tale;Geschichte / Märchen;n.;B2;
tank;Tank / Panzer;n.;B2;
target;Ziel;v.;B2;
tear;Träne / zerreißen;v., n.;B2;
tear;Träne / zerreißen;n.;B2;
temporary;vorübergehend;adj.;B2;
term;Begriff / Semester;v.;B2;
therapy;Therapie;n.;B2;
threat;Bedrohung;n.;B2;
threaten;bedrohen;v.;B2;
thus;also / so;adv.;B2;
time;Zeit;v.;B2;
title;Titel;v.;B2;
tone;Ton / Tonfall;n.;B2;
tough;hart / zäh;adj.;B2;
track;Spur / Strecke;v.;B2;
transfer;übertragen / Transfer;v., n.;B2;
transform;verwandeln;v.;B2;
transition;Übergang;n.;B2;
trial;Prozess / Versuch;n.;B2;
trip;Reise / stolpern;v.;B2;
tropical;tropisch;adj.;B2;
trouble;Ärger / Schwierigkeit;v.;B2;
truly;wahrhaftig / wirklich;adv.;B2;
trust;Vertrauen / vertrauen;n., v.;B2;
try;versuchen;n.;B2;
tune;Melodie / abstimmen;n.;B2;
tunnel;Tunnel;n.;B2;
ultimately;letztendlich;adv.;B2;
unconscious;bewusstlos / unbewusst;adj.;B2;
unexpected;unerwartet;adj.;B2;
unique;einzigartig;adj.;B2;
universe;Universum;n.;B2;
unknown;unbekannt;adj.;B2;
upper;obere:r;adj.;B2;
upwards;aufwärts;adv.;B2;
urban;städtisch;adj.;B2;
urge;drängen / Drang;v.;B2;
value;Wert;v.;B2;
vary;variieren;v.;B2;
vast;riesig / weit;adj.;B2;
venue;Veranstaltungsort;n.;B2;
very;sehr;adj.;B2;
via;über / via;prep.;B2;
victory;Sieg;n.;B2;
violence;Gewalt;n.;B2;
virtual;virtuell;adj.;B2;
vision;Vision / Sehkraft;n.;B2;
visual;visuell;adj.;B2;
vital;lebenswichtig / wichtig;adj.;B2;
vitamin;Vitamin;n.;B2;
volume;Lautstärke / Volumen;n.;B2;
wage;Lohn;n.;B2;
way;Weg / Art;adv.;B2;
weakness;Schwäche;n.;B2;
wealth;Reichtum / Wohlstand;n.;B2;
wealthy;wohlhabend;adj.;B2;
whereas;wohingegen;conj.;B2;
wherever;wo auch immer;conj.;B2;
whisper;flüstern;v., n.;B2;
whom;wen / wem;pron.;B2;
widely;weit verbreitet;adv.;B2;
wildlife;Wildtiere / Tierwelt;n.;B2;
willing;bereit / willens;adj.;B2;
wind;Wind / wickeln;v.;B2;
wire;Draht / Kabel;n.;B2;
wise;weise;adj.;B2;
witness;Zeuge / Zeugin;n., v.;B2;
worse;schlimmer;n.;B2;
worst;schlimmste:r;n.;B2;
worth;wert;n.;B2;
wound;Wunde / verwunden;n., v.;B2;
wrap;einwickeln;v.;B2;
wrong;falsch;n.;B2;
yet;noch;conj.;B2;
zone;Zone;n.;B2;
absorb;absorbieren / aufnehmen;v.;B2;
abstract;abstrakt;adj.;B2;
accent;Akzent;n.;B2;
accidentally;versehentlich / zufällig;adv.;B2;
accommodate;unterbringen;v.;B2;
accomplish;erreichen / vollbringen;v.;B2;
accountant;Buchhalter:in;n.;B2;
accuracy;Genauigkeit;n.;B2;
accurately;genau;adv.;B2;
acid;Säure / sauer;n.;B2;
activate;aktivieren;v.;B2;
addiction;Sucht;n.;B2;
additionally;zusätzlich;adv.;B2;
adequate;angemessen / ausreichend;adj.;B2;
adequately;angemessen;adv.;B2;
adjust;anpassen / einstellen;v.;B2;
affordable;erschwinglich;adj.;B2;
