wort;übersetzung;wortart;niveau;thema
careful;vorsichtig;adj.;A2;
carefully;vorsichtig / sorgfältig;adv.;A2;
carpet;Teppich;n.;A2;
cartoon;Zeichentrick / Comic;n.;A2;
case;Fall / Koffer;n.;A2;
cash;Bargeld;n.;A2;
castle;Schloss / Burg;n.;A2;
catch;fangen / erwischen;v.;A2;
cause;Ursache / verursachen;n., v.;A2;
celebrate;feiern;v.;A2;
celebrity;Berühmtheit;n.;A2;
certain;sicher / bestimmt;adj.;A2;
certainly;sicherlich;adv.;A2;
chance;Chance / Möglichkeit;n.;A2;
character;Charakter / Figur;n.;A2;
charity;Wohltätigkeit;n.;A2;
chat;plaudern / Chat;v., n.;A2;
check;prüfen / Scheck;n.;A2;
chef;Koch / Köchin;n.;A2;
chemistry;Chemie;n.;A2;
chip;Chip / Pommes;n.;A2;
choice;Wahl / Auswahl;n.;A2;
church;Kirche;n.;A2;
cigarette;Zigarette;n.;A2;
circle;Kreis;n., v.;A2;
classical;klassisch;adj.;A2;
clear;klar;adj.;A2;
clearly;deutlich / klar;adv.;A2;
clever;klug;adj.;A2;
climate;Klima;n.;A2;
close;schließen / nah;adj.;A2;
closed;geschlossen;adj.;A2;
clothing;Bekleidung;n.;A2;
cloud;Wolke;n.;A2;
coach;Trainer:in / Reisebus;n.;A2;
coast;Küste;n.;A2;
code;Code;n.;A2;
colleague;Kolleg:in;n.;A2;
collect;sammeln;v.;A2;
column;Spalte / Säule;n.;A2;
comedy;Komödie;n.;A2;
comfortable;bequem;adj.;A2;
comment;Kommentar / kommentieren;n.;A2;
communicate;kommunizieren;v.;A2;
community;Gemeinschaft;n.;A2;
compete;konkurrieren / wetteifern;v.;A2;
competition;Wettbewerb;n.;A2;
complain;sich beschweren;v.;A2;
completely;völlig / komplett;adv.;A2;
condition;Zustand / Bedingung;n.;A2;
conference;Konferenz;n.;A2;
connect;verbinden;v.;A2;
connected;verbunden;adj.;A2;
consider;in Betracht ziehen / überlegen;v.;A2;
contain;enthalten;v.;A2;
context;Kontext / Zusammenhang;n.;A2;
continent;Kontinent;n.;A2;
continue;fortsetzen / weitermachen;v.;A2;
control;Kontrolle / kontrollieren;n., v.;A2;
cook;kochen / Koch:in;n.;A2;
cooker;Herd;n.;A2;
copy;Kopie / kopieren;n., v.;A2;
corner;Ecke;n.;A2;
correctly;richtig / korrekt;adv.;A2;
count;zählen;v.;A2;
couple;Paar;n.;A2;
cover;bedecken / Abdeckung;v.;A2;
crazy;verrückt;adj.;A2;
creative;kreativ;adj.;A2;
credit;Kredit / Anerkennung;n.;A2;
crime;Verbrechen;n.;A2;
criminal;Verbrecher:in / kriminell;n.;A2;
cross;Kreuz / kreuzen / überqueren;v., n.;A2;
crowd;Menschenmenge;n.;A2;
crowded;voll / überfüllt;adj.;A2;
cry;weinen / rufen;v.;A2;
cupboard;Schrank;n.;A2;
curly;lockig;adj.;A2;
cycle;Fahrrad fahren / Zyklus;n., v.;A2;
daily;täglich;adj.;A2;
danger;Gefahr;n.;A2;
dark;dunkel;n.;A2;
data;Daten;n.;A2;
dead;tot;adj.;A2;
deal;Geschäft / Deal;v.;A2;
dear;lieb / teuer;exclam.;A2;
death;Tod;n.;A2;
decision;Entscheidung;n.;A2;
deep;tief;adj.;A2;
definitely;definitiv / bestimmt;adv.;A2;
degree;Grad / Abschluss;n.;A2;
dentist;Zahnarzt / Zahnärztin;n.;A2;
department;Abteilung;n.;A2;
depend;abhängen;v.;A2;
desert;Wüste;n.;A2;
designer;Designer:in;n.;A2;
destroy;zerstören;v.;A2;
detective;Detektiv:in;n.;A2;
develop;entwickeln;v.;A2;
device;Gerät;n.;A2;
diary;Tagebuch;n.;A2;
differently;anders;adv.;A2;
digital;digital;adj.;A2;
direct;direkt;adj.;A2;
direction;Richtung;n.;A2;
director;Direktor:in / Regisseur:in;n.;A2;
disagree;anderer Meinung sein;v.;A2;
disappear;verschwinden;v.;A2;
disaster;Katastrophe;n.;A2;
discover;entdecken;v.;A2;
discovery;Entdeckung;n.;A2;
discussion;Diskussion;n.;A2;
disease;Krankheit;n.;A2;
distance;Entfernung / Distanz;n.;A2;
divorced;geschieden;adj.;A2;
document;Dokument;n.;A2;
double;doppelt;adj., det., pron., v.;A2;
download;herunterladen / Download;v., n.;A2;
downstairs;unten;adj.;A2;
drama;Drama;n.;A2;
drawing;Zeichnung;n.;A2;
dream;Traum / träumen;n., v.;A2;
drive;fahren;n.;A2;
driving;Autofahren;n.;A2;
drop;fallen lassen / Tropfen;v.;A2;
drug;Droge / Medikament;n.;A2;
dry;trocken;adj., v.;A2;
earn;verdienen;v.;A2;
earth;Erde;n.;A2;
easily;leicht / mühelos;adv.;A2;
education;Bildung;n.;A2;
effect;Wirkung / Effekt;n.;A2;
either det./pron.,;entweder;adv.;A2;
electric;elektrisch;adj.;A2;
electrical;elektrisch;adj.;A2;
electricity;Elektrizität / Strom;n.;A2;
electronic;elektronisch;adj.;A2;
employ;beschäftigen / einstellen;v.;A2;
employee;Angestellte:r;n.;A2;
employer;Arbeitgeber:in;n.;A2;
empty;leer;adj.;A2;
ending;Ende / Endung;n.;A2;
energy;Energie;n.;A2;
engine;Motor;n.;A2;
engineer;Ingenieur:in;n.;A2;
enormous;riesig / enorm;adj.;A2;
enter;eintreten / eingeben;v.;A2;
environment;Umwelt;n.;A2;
equipment;Ausrüstung;n.;A2;
error;Fehler;n.;A2;
especially;besonders;adv.;A2;
essay;Aufsatz / Essay;n.;A2;
everyday;alltäglich;adj.;A2;
everywhere;überall;adv.;A2;
evidence;Beweis(e);n.;A2;
exact;genau / exakt;adj.;A2;
exactly;genau;adv.;A2;
excellent;ausgezeichnet;adj.;A2;
except;außer;prep.;A2;
exist;existieren;v.;A2;
expect;erwarten;v.;A2;
experience;Erfahrung;n.;A2;
experiment;Experiment;n.;A2;
expert;Experte / Expertin;n., adj.;A2;
explanation;Erklärung;n.;A2;
express;ausdrücken;v.;A2;
expression;Ausdruck;n.;A2;
extreme;extrem;adj.;A2;
extremely;äußerst / extrem;adv.;A2;
factor;Faktor;n.;A2;
factory;Fabrik;n.;A2;
fail;scheitern / durchfallen;v.;A2;
fair;fair / Messe;adj.;A2;
fall;fallen / Sturz;n.;A2;
fan;Fan / Ventilator;n.;A2;
farm;Bauernhof;v.;A2;
farming;Landwirtschaft;n.;A2;
fashion;Mode;n.;A2;
fat;dick / Fett;n.;A2;
fear;Angst / fürchten;n.;A2;
feature;Eigenschaft / Merkmal;n.;A2;
feed;füttern;v.;A2;
female;weiblich;adj., n.;A2;
fiction;Fiktion / Belletristik;n.;A2;
field;Feld;n.;A2;
fight;kämpfen / Kampf;v., n.;A2;
figure;Zahl / Figur;n.;A2;
film;Film;v.;A2;
final;endgültig / Finale;n.;A2;
finally;schließlich / endlich;adv.;A2;
finger;Finger;n.;A2;
finish;beenden / Ende;n.;A2;
first;erste:r;n.;A2;
firstly;erstens;adv.;A2;
fish;Fisch;v.;A2;
fishing;Angeln;n.;A2;
fit;passen / fit;v., adj.;A2;
fix;reparieren / festsetzen;v.;A2;
flat;Wohnung / flach;adj.;A2;
flu;Grippe;n.;A2;
fly;fliegen;n.;A2;
flying;Fliegen;n., adj.;A2;
focus;fokussieren / Fokus;v., n.;A2;
following;folgend;adj.;A2;
foreign;ausländisch / fremd;adj.;A2;
forest;Wald;n.;A2;
fork;Gabel;n.;A2;
formal;förmlich / formal;adj.;A2;
fortunately;glücklicherweise;adv.;A2;
forward;vorwärts;adv.;A2;
free;frei / kostenlos;adv.;A2;
fresh;frisch;adj.;A2;
fridge;Kühlschrank;n.;A2;
frog;Frosch;n.;A2;
fun;Spaß;adj.;A2;
furniture;Möbel;n.;A2;
further;weiter;adj.;A2;
future;Zukunft;adj.;A2;
gallery;Galerie;n.;A2;
gap;Lücke / Abstand;n.;A2;
gas;Gas;n.;A2;
gate;Tor;n.;A2;
general;allgemein / General;adj.;A2;
gift;Geschenk;n.;A2;
goal;Ziel / Tor;n.;A2;
god;Gott;n.;A2;
gold;Gold;n., adj.;A2;
golf;Golf;n.;A2;
good;gut;n.;A2;
government;Regierung;n.;A2;
grass;Gras;n.;A2;
greet;begrüßen;v.;A2;
ground;Boden / Grund;n.;A2;
guest;Gast;n.;A2;
guide;Führer:in / führen;n., v.;A2;
gun;Pistole / Waffe;n.;A2;
guy;Typ / Kerl;n.;A2;
habit;Gewohnheit;n.;A2;
half;halb / Hälfte;adv.;A2;
hall;Halle / Flur;n.;A2;
happily;glücklich / glücklicherweise;adv.;A2;
have;haben;auxiliary v.;A2;
headache;Kopfschmerzen;n.;A2;
heart;Herz;n.;A2;
heat;Hitze / Wärme;n., v.;A2;
heavy;schwer;adj.;A2;
height;Höhe;n.;A2;
helpful;hilfreich;adj.;A2;
hero;Held;n.;A2;
hers;ihrs;pron.;A2;
herself;sich selbst (sie);pron.;A2;
hide;verstecken;v.;A2;
high;hoch;adv.;A2;
hill;Hügel;n.;A2;
himself;sich selbst (er);pron.;A2;
his;sein;pron.;A2;
hit;schlagen / treffen;v., n.;A2;
hockey;Hockey;n.;A2;
hold;halten;v.;A2;
hole;Loch;n.;A2;
home;Zuhause;adj.;A2;
hope;hoffen / Hoffnung;n.;A2;
huge;riesig;adj.;A2;
human;Mensch / menschlich;adj., n.;A2;
hurt;verletzen / weh tun;v., adj.;A2;
ideal;ideal;adj.;A2;
identify;identifizieren;v.;A2;
ill;krank;adj.;A2;
illness;Krankheit;n.;A2;
image;Bild / Image;n.;A2;
immediately;sofort;adv.;A2;
impossible;unmöglich;adj.;A2;
included;enthalten;adj.;A2;
including;einschließlich;prep.;A2;
increase;erhöhen / Anstieg;v., n.;A2;
incredible;unglaublich;adj.;A2;
independent;unabhängig;adj.;A2;
individual;individuell / Einzelperson;n., adj.;A2;
industry;Industrie;n.;A2;
informal;informell;adj.;A2;
injury;Verletzung;n.;A2;
insect;Insekt;n.;A2;
inside;innen / drinnen;prep., adv., n., adj.;A2;
instead;stattdessen;adv.;A2;
instruction;Anweisung;n.;A2;
instructor;Lehrer:in / Instruktor:in;n.;A2;
instrument;Instrument;n.;A2;
intelligent;intelligent;adj.;A2;
international;international;adj.;A2;
introduction;Einführung / Vorstellung;n.;A2;
invent;erfinden;v.;A2;
invention;Erfindung;n.;A2;
invitation;Einladung;n.;A2;
invite;einladen;v.;A2;
involve;beinhalten / einbeziehen;v.;A2;
item;Element / Artikel;n.;A2;
itself;sich selbst (es);pron.;A2;
jam;Marmelade / Stau;n.;A2;
jazz;Jazz;n.;A2;
jewellery;Schmuck;n.;A2;
joke;Witz;n., v.;A2;
journalist;Journalist:in;n.;A2;
jump;springen;v., n.;A2;
kid;Kind;n.;A2;
kill;töten;v.;A2;
king;König;n.;A2;
knee;Knie;n.;A2;
knife;Messer;n.;A2;
knock;klopfen;v.;A2;
knowledge;Wissen;n.;A2;
lab;Labor;n.;A2;
lady;Dame;n.;A2;
lake;See;n.;A2;
lamp;Lampe;n.;A2;
land;Land / landen;v.;A2;
laptop;Laptop;n.;A2;
last (final);letzte:r / endgültig;adv., n.;A2;
last (taking time);dauern;v.;A2;
later;später;adj.;A2;
laughter;Lachen / Gelächter;n.;A2;
law;Gesetz;n.;A2;
lawyer;Anwalt / Anwältin;n.;A2;
lazy;faul;adj.;A2;
lead;führen / Blei;v.;A2;
leader;Führer:in / Leiter:in;n.;A2;
learning;Lernen;n.;A2;
least det./pron.,;wenigste:s / mindestens;adv.;A2;
lecture;Vorlesung;n., v.;A2;
lemon;Zitrone;n.;A2;
lend;verleihen;v.;A2;
less det./pron.,;weniger;adv.;A2;
level;Niveau / Stufe;n.;A2;
lifestyle;Lebensstil;n.;A2;
lift;heben / Aufzug;v., n.;A2;
light (from the sun/a lamp);Licht;v.;A2;
light (not heavy);leicht;adj.;A2;
likely;wahrscheinlich;adj.;A2;
link;Verbindung / Link;n., v.;A2;
listener;Zuhörer:in;n.;A2;
little;wenig / klein;adv.;A2;
lock;abschließen / Schloss;v., n.;A2;
look;schauen / aussehen;n.;A2;
lorry;LKW;n.;A2;
lost;verloren;adj.;A2;
loud;laut;adj., adv.;A2;
loudly;laut;adv.;A2;
lovely;wunderschön / nett;adj.;A2;
low;niedrig;adj., adv.;A2;
luck;Glück;n.;A2;
lucky;glücklich (Glück gehabt);adj.;A2;
mail;Post / E-Mail;n., v.;A2;
major;Haupt- / wichtig;adj.;A2;
male;männlich;adj., n.;A2;
manage;schaffen / verwalten;v.;A2;
manager;Manager:in;n.;A2;
manner;Art / Manier;n.;A2;
mark;Note / markieren;v., n.;A2;
marry;heiraten;v.;A2;
material;Material;n.;A2;
mathematics;Mathematik;n.;A2;
maths;Mathe;n.;A2;
matter;Angelegenheit / wichtig sein;n., v.;A2;
may;dürfen / mögen;modal v.;A2;
media;Medien;n.;A2;
medical;medizinisch;adj.;A2;
medicine;Medizin / Medikament;n.;A2;
memory;Erinnerung / Gedächtnis;n.;A2;
mention;erwähnen;v.;A2;
metal;Metall;n.;A2;
method;Methode;n.;A2;
middle;Mitte / mittlere:r;n., adj.;A2;
might;könnte;modal v.;A2;
mind;Verstand / etwas dagegen haben;n., v.;A2;
mine (belongs to me);meins;pron.;A2;
mirror;Spiegel;n.;A2;
missing;fehlend / vermisst;adj.;A2;
mobile;mobil / Handy;adj., n.;A2;
monkey;Affe;n.;A2;
moon;Mond;n.;A2;
mostly;meistens;adv.;A2;
motorcycle;Motorrad;n.;A2;
movement;Bewegung;n.;A2;
musical;musikalisch / Musical;adj.;A2;
musician;Musiker:in;n.;A2;
myself;mich selbst;pron.;A2;
narrow;schmal / eng;adj.;A2;
national;national;adj.;A2;
nature;Natur;n.;A2;
nearly;fast;adv.;A2;
necessary;notwendig / nötig;adj.;A2;
neck;Hals / Nacken;n.;A2;
need;brauchen;n.;A2;
nervous;nervös;adj.;A2;
network;Netzwerk;n.;A2;
noise;Geräusch / Lärm;n.;A2;
noisy;laut;adj.;A2;
none;keine:r / nichts;pron.;A2;
normal;normal;adj.;A2;
normally;normalerweise;adv.;A2;
notice;bemerken / Hinweis;v., n.;A2;
novel;Roman;n.;A2;
nowhere;nirgendwo;adv.;A2;
number;Zahl / Nummer;v.;A2;
nut;Nuss;n.;A2;
ocean;Ozean;n.;A2;
offer;anbieten / Angebot;v., n.;A2;
officer;Offizier:in / Beamte:r;n.;A2;
oil;Öl;n.;A2;
onto;auf / hinauf;prep.;A2;
opportunity;Gelegenheit / Chance;n.;A2;
option;Option;n.;A2;
ordinary;gewöhnlich;adj.;A2;
organization;Organisation;n.;A2;
organize;organisieren;v.;A2;
original;original / ursprünglich;adj.;A2;
ourselves;uns selbst;pron.;A2;
outside;außen / draußen;prep., n., adj.;A2;
oven;Backofen;n.;A2;
own;eigen / besitzen;v.;A2;
owner;Besitzer:in;n.;A2;
pack;packen / Packung;v.;A2;
pain;Schmerz;n.;A2;
painter;Maler:in;n.;A2;
palace;Palast;n.;A2;
pants;Hose / Unterhose;n.;A2;
parking;Parken / Parkplatz;n.;A2;
particular;besonders / bestimmt;adj.;A2;
pass;vorbeigehen / bestehen;v.;A2;
passenger;Passagier:in / Fahrgast;n.;A2;
past;Vergangenheit / vorbei;adv.;A2;
patient;Patient:in / geduldig;n.;A2;
pattern;Muster;n.;A2;
pay;bezahlen;n.;A2;
peace;Frieden;n.;A2;
penny;Penny;n.;A2;
per;pro;prep.;A2;
perform;auftreten / leisten;v.;A2;
perhaps;vielleicht;adv.;A2;
permission;Erlaubnis;n.;A2;
personality;Persönlichkeit;n.;A2;
pet;Haustier;n.;A2;
petrol;Benzin;n.;A2;
photograph;Foto;v.;A2;
physical;körperlich / physisch;adj.;A2;
physics;Physik;n.;A2;
pick;auswählen / pflücken;v.;A2;
pilot;Pilot:in;n.;A2;
planet;Planet;n.;A2;
plant;Pflanze;v.;A2;
plastic;Plastik / Kunststoff;n., adj.;A2;
plate;Teller;n.;A2;
platform;Bahnsteig / Plattform;n.;A2;
please;bitte;v.;A2;
pleased;erfreut;adj.;A2;
pocket;Tasche (Hosentasche);n.;A2;
polite;höflich;adj.;A2;
pollution;Verschmutzung;n.;A2;
pop;Pop / knallen;n., adj.;A2;
population;Bevölkerung;n.;A2;
position;Position / Stelle;n.;A2;
possession;Besitz;n.;A2;
possibility;Möglichkeit;n.;A2;
poster;Poster / Plakat;n.;A2;
power;Macht / Energie;n.;A2;
predict;vorhersagen;v.;A2;
present;Geschenk / anwesend;v.;A2;
president;Präsident:in;n.;A2;
prevent;verhindern;v.;A2;
print;drucken;v.;A2;
printer;Drucker;n.;A2;
prison;Gefängnis;n.;A2;
prize;Preis (Auszeichnung);n.;A2;
process;Prozess / Verfahren;n.;A2;
produce;produzieren / herstellen;v.;A2;
professional;professionell / Profi;adj.;A2;
professor;Professor:in;n.;A2;
profile;Profil;n.;A2;
program;Programm;n.;A2;
progress;Fortschritt;n.;A2;
promise;versprechen / Versprechen;v., n.;A2;
pronounce;aussprechen;v.;A2;
protect;schützen;v.;A2;
provide;bereitstellen / liefern;v.;A2;
pub;Kneipe / Pub;n.;A2;
public;öffentlich / Öffentlichkeit;adj., n.;A2;
publish;veröffentlichen;v.;A2;
pull;ziehen;v.;A2;
purpose;Zweck;n.;A2;
push;drücken / schieben;v.;A2;
quality;Qualität;n.;A2;
quantity;Menge / Quantität;n.;A2;
queen;Königin;n.;A2;
question;Frage;v.;A2;
quietly;leise / ruhig;adv.;A2;
race (competition);Rennen;n., v.;A2;
railway;Eisenbahn;n.;A2;
raise;erhöhen / aufziehen;v.;A2;
rate;Rate / bewerten;n.;A2;
rather;lieber / ziemlich;adv.;A2;
reach;erreichen;v.;A2;
react;reagieren;v.;A2;
realize;erkennen / realisieren;v.;A2;
receive;erhalten / empfangen;v.;A2;
recent;kürzlich;adj.;A2;
recently;kürzlich / vor Kurzem;adv.;A2;
reception;Rezeption / Empfang;n.;A2;
recipe;Rezept (Kochen);n.;A2;
recognize;erkennen;v.;A2;
recommend;empfehlen;v.;A2;
record;Aufnahme / Rekord / aufnehmen;n., v.;A2;
recording;Aufnahme;n.;A2;
recycle;recyceln;v.;A2;
reduce;verringern / reduzieren;v.;A2;
refer;sich beziehen / verweisen;v.;A2;
refuse;ablehnen / verweigern;v.;A2;
region;Region;n.;A2;
regular;regelmäßig;adj.;A2;
relationship;Beziehung;n.;A2;
remove;entfernen;v.;A2;
repair;reparieren / Reparatur;v.;A2;
replace;ersetzen;v.;A2;
reply;antworten / Antwort;v., n.;A2;
report;Bericht / berichten;v.;A2;
reporter;Reporter:in;n.;A2;
request;Anfrage / bitten;n.;A2;
research;Forschung;n., v.;A2;
researcher;Forscher:in;n.;A2;
respond;antworten / reagieren;v.;A2;
response;Antwort / Reaktion;n.;A2;
rest (remaining part);Rest;n.;A2;
rest (sleep/relax);ausruhen;n., v.;A2;
review;Rezension / überprüfen;n., v.;A2;
ride;reiten / fahren;n.;A2;
ring;Ring / klingeln;n.;A2;
ring;Ring / klingeln;v.;A2;
rise;steigen / Anstieg;v.;A2;
rock (stone);Stein / Felsen;n.;A2;
rock (music);Rock(musik);n.;A2;
role;Rolle;n.;A2;
roof;Dach;n.;A2;
round;rund / Runde;adj., adv., prep.;A2;
route;Route / Strecke;n.;A2;
rubbish;Müll / Quatsch;n.;A2;
rude;unhöflich / frech;adj.;A2;
run;laufen / leiten;n.;A2;
runner;Läufer:in;n.;A2;
running;Laufen / Joggen;n.;A2;
sadly;traurigerweise;adv.;A2;
safe;sicher / Tresor;adj.;A2;
sail;segeln;v.;A2;
sailing;Segeln;n.;A2;
salary;Gehalt;n.;A2;
sale;Verkauf / Sale;n.;A2;
sauce;Soße;n.;A2;
save;sparen / retten / speichern;v.;A2;
scared;ängstlich / verängstigt;adj.;A2;
scary;gruselig;adj.;A2;
scene;Szene;n.;A2;
schedule;Zeitplan;n.;A2;
score;Punktzahl / Tor schießen;v., n.;A2;
screen;Bildschirm;n.;A2;
search;suchen / Suche;n., v.;A2;
season;Jahreszeit / Saison;n.;A2;
seat;Sitz / Platz;n.;A2;
second (next after the first);zweite:r;adv.;A2;
secondly;zweitens;adv.;A2;
secret;Geheimnis / geheim;adj., n.;A2;
secretary;Sekretär:in;n.;A2;
seem;scheinen;v.;A2;
sense;Sinn / Gefühl;n.;A2;
separate;getrennt / trennen;adj.;A2;
series;Serie / Reihe;n.;A2;
serious;ernst / seriös;adj.;A2;
serve;servieren / dienen;v.;A2;
service;Service / Dienst;n.;A2;
shake;schütteln;v.;A2;
shall;werden / sollen;modal v.;A2;
shape;Form;n.;A2;
sheet;Blatt / Bettlaken;n.;A2;
ship;Schiff;n.;A2;
shoulder;Schulter;n.;A2;
shout;schreien / rufen;v., n.;A2;
shut;schließen / zu;v., adj.;A2;
side;Seite;n.;A2;
sign;Zeichen / unterschreiben;n., v.;A2;
silver;Silber;n., adj.;A2;
simple;einfach;adj.;A2;
since;seit / da;prep., conj.;A2;
singing;Singen;n.;A2;
single;einzeln / ledig;adj., n.;A2;
sir;Herr;n.;A2;
site;Ort / Website;n.;A2;
size;Größe;n.;A2;
ski;Ski / Ski fahren;v., adj., n.;A2;
skiing;Skifahren;n.;A2;
skin;Haut;n.;A2;
sky;Himmel;n.;A2;
sleep;schlafen;n.;A2;
slowly;langsam;adv.;A2;
smartphone;Smartphone;n.;A2;
smell;riechen / Geruch;v., n.;A2;
smile;lächeln / Lächeln;v., n.;A2;
smoke;rauchen / Rauch;n., v.;A2;
smoking;Rauchen;n.;A2;
soap;Seife;n.;A2;
soccer;Fußball;n.;A2;
social;sozial / gesellschaftlich;adj.;A2;
society;Gesellschaft;n.;A2;
sock;Socke;n.;A2;
soft;weich;adj.;A2;
soldier;Soldat:in;n.;A2;
solution;Lösung;n.;A2;
solve;lösen;v.;A2;
somewhere;irgendwo;adv., pron.;A2;
sort;Sorte / sortieren;n.;A2;
source;Quelle;n.;A2;
speaker;Sprecher:in / Lautsprecher;n.;A2;
specific;spezifisch / bestimmt;adj.;A2;
speech;Rede / Sprache;n.;A2;
speed;Geschwindigkeit;n.;A2;
spider;Spinne;n.;A2;
spoon;Löffel;n.;A2;
square;Quadrat / Platz;adj., n.;A2;
stage;Bühne / Phase;n.;A2;
stair;Treppenstufe;n.;A2;
stamp;Briefmarke / Stempel;n.;A2;
star;Stern / Star;v.;A2;
start;Start / starten;n.;A2;
state;Staat / Zustand;n.;A2;
stay;bleiben;n.;A2;
steal;stehlen;v.;A2;
step;Schritt;n.;A2;
stomach;Magen / Bauch;n.;A2;
stone;Stein;n.;A2;
store;Laden / lagern;n.;A2;
storm;Sturm;n.;A2;
straight;gerade / direkt;adv., adj.;A2;
strange;seltsam;adj.;A2;
strategy;Strategie;n.;A2;
stress;Stress / betonen;n., v.;A2;
structure;Struktur;n.;A2;
stupid;dumm;adj.;A2;
succeed;Erfolg haben;v.;A2;
successful;erfolgreich;adj.;A2;
suddenly;plötzlich;adv.;A2;
suggest;vorschlagen;v.;A2;
suggestion;Vorschlag;n.;A2;
suit;Anzug / passen;n.;A2;
support;unterstützen / Unterstützung;v., n.;A2;
suppose;annehmen / vermuten;v.;A2;
sure;sicher;adv.;A2;
surprise;Überraschung / überraschen;n., v.;A2;
surprised;überrascht;adj.;A2;
surprising;überraschend;adj.;A2;
survey;Umfrage;n.;A2;
sweet;süß;adj., n.;A2;
symbol;Symbol;n.;A2;
system;System;n.;A2;
tablet;Tablet / Tablette;n.;A2;
talk;reden;n.;A2;
target;Ziel;n.;A2;
task;Aufgabe;n.;A2;
taste;Geschmack / schmecken;n., v.;A2;
teaching;Unterrichten / Lehre;n.;A2;
