wort;übersetzung;wortart;niveau;thema
compensation;Entschädigung;n.;C1;
competence;Kompetenz;n.;C1;
competent;kompetent;adj.;C1;
compile;zusammenstellen / kompilieren;v.;C1;
complement;ergänzen;v.;C1;
complexity;Komplexität;n.;C1;
compliance;Einhaltung / Compliance;n.;C1;
complication;Komplikation;n.;C1;
comply;einhalten / sich fügen;v.;C1;
composition;Komposition / Zusammensetzung;n.;C1;
compromise;Kompromiss;n., v.;C1;
compute;berechnen;v.;C1;
conceal;verbergen;v.;C1;
concede;zugeben / einräumen;v.;C1;
conceive;sich vorstellen / empfangen;v.;C1;
conception;Vorstellung / Empfängnis;n.;C1;
concession;Zugeständnis;n.;C1;
condemn;verurteilen;v.;C1;
confer;verleihen / beraten;v.;C1;
confession;Geständnis;n.;C1;
configuration;Konfiguration;n.;C1;
confine;begrenzen / beschränken;v.;C1;
confirmation;Bestätigung;n.;C1;
confront;konfrontieren;v.;C1;
confrontation;Konfrontation;n.;C1;
congratulate;gratulieren;v.;C1;
congregation;Gemeinde / Versammlung;n.;C1;
congressional;Kongress-;adj.;C1;
conquer;erobern;v.;C1;
conscience;Gewissen;n.;C1;
consciousness;Bewusstsein;n.;C1;
consecutive;aufeinanderfolgend;adj.;C1;
consensus;Konsens;n.;C1;
consent;Zustimmung;n., v.;C1;
conserve;erhalten / schützen;v.;C1;
consistency;Konsistenz / Beständigkeit;n.;C1;
consolidate;festigen / konsolidieren;v.;C1;
constituency;Wahlkreis;n.;C1;
constitute;bilden / darstellen;v.;C1;
constitution;Verfassung;n.;C1;
constitutional;verfassungsmäßig;adj.;C1;
constraint;Einschränkung / Zwang;n.;C1;
consultation;Beratung / Konsultation;n.;C1;
contemplate;betrachten / nachdenken;v.;C1;
contempt;Verachtung;n.;C1;
contend;behaupten / kämpfen;v.;C1;
contender;Anwärter:in / Konkurrent;n.;C1;
content;Inhalt / zufrieden;adj.;C1;
contention;Behauptung / Streit;n.;C1;
continually;fortwährend;adv.;C1;
contractor;Auftragnehmer:in;n.;C1;
contradiction;Widerspruch;n.;C1;
contrary;im Gegenteil / entgegengesetzt;adj., n.;C1;
contributor;Mitwirkende:r;n.;C1;
conversion;Umwandlung / Konversion;n.;C1;
convict;verurteilen / Sträfling;v.;C1;
conviction;Überzeugung / Verurteilung;n.;C1;
cooperate;kooperieren;v.;C1;
cooperative;kooperativ / Genossenschaft;adj.;C1;
coordinate;koordinieren;v.;C1;
coordination;Koordination;n.;C1;
coordinator;Koordinator:in;n.;C1;
cop;Polizist:in;n.;C1;
copper;Kupfer;n.;C1;
copyright;Urheberrecht;n.;C1;
correction;Korrektur;n.;C1;
correlate;korrelieren;v.;C1;
correlation;Korrelation;n.;C1;
correspond;entsprechen / korrespondieren;v.;C1;
correspondence;Korrespondenz / Briefwechsel;n.;C1;
correspondent;Korrespondent:in;n.;C1;
corresponding;entsprechend;adj.;C1;
corrupt;korrupt;adj.;C1;
corruption;Korruption;n.;C1;
costly;kostspielig;adj.;C1;
councillor;Ratsmitglied;n.;C1;
counselling;Beratung;n.;C1;
counsellor;Berater:in;n.;C1;
counter (argue against);entgegnen;v.;C1;
counterpart;Gegenstück / Pendant;n.;C1;
countless;zahllos;adj.;C1;
coup;Putsch / Coup;n.;C1;
courtesy;Höflichkeit;n.;C1;
craft;Handwerk;v.;C1;
crawl;kriechen / krabbeln;v.;C1;
creator;Schöpfer:in;n.;C1;
credibility;Glaubwürdigkeit;n.;C1;
credible;glaubwürdig;adj.;C1;
creep;schleichen;v.;C1;
critique;Kritik;n.;C1;
crown;Krone;n.;C1;
crude;roh / grob;adj.;C1;
crush;zerquetschen / Schwarm;v.;C1;
crystal;Kristall;n.;C1;
cult;Kult;n., adj.;C1;
cultivate;kultivieren / anbauen;v.;C1;
curiosity;Neugier;n.;C1;
custody;Sorgerecht / Gewahrsam;n.;C1;
cutting;Schneiden / Ausschnitt;n.;C1;
cynical;zynisch;adj.;C1;
dam;Damm;n.;C1;
damaging;schädlich;adj.;C1;
dawn;Morgendämmerung;n.;C1;
debris;Trümmer;n.;C1;
debut;Debüt;n.;C1;
decision-making;Entscheidungsfindung;n.;C1;
decisive;entscheidend;adj.;C1;
declaration;Erklärung / Deklaration;n.;C1;
dedicated;engagiert / hingebungsvoll;adj.;C1;
dedication;Hingabe / Engagement;n.;C1;
deed;Tat;n.;C1;
deem;halten für / erachten;v.;C1;
default;Standard / Versäumnis;n.;C1;
defect;Mangel / Defekt;n.;C1;
defensive;defensiv;adj.;C1;
deficiency;Mangel / Defizit;n.;C1;
deficit;Defizit;n.;C1;
defy;trotzen;v.;C1;
delegate;Delegierte:r / delegieren;n.;C1;
delegation;Delegation;n.;C1;
delicate;zart / heikel;adj.;C1;
demon;Dämon;n.;C1;
denial;Leugnung / Verweigerung;n.;C1;
denounce;anprangern / verurteilen;v.;C1;
dense;dicht;adj.;C1;
density;Dichte;n.;C1;
dependence;Abhängigkeit;n.;C1;
depict;darstellen / abbilden;v.;C1;
deploy;einsetzen / stationieren;v.;C1;
deployment;Einsatz / Stationierung;n.;C1;
deposit;Einzahlung / Anzahlung;v.;C1;
deprive;berauben / vorenthalten;v.;C1;
deputy;Stellvertreter:in;n.;C1;
descend;absteigen / abstammen;v.;C1;
descent;Abstieg / Abstammung;n.;C1;
designate;ernennen / bestimmen;v.;C1;
desirable;wünschenswert;adj.;C1;
desktop;Desktop / Arbeitsfläche;n.;C1;
destructive;destruktiv / zerstörerisch;adj.;C1;
detain;festhalten / inhaftieren;v.;C1;
detection;Erkennung / Entdeckung;n.;C1;
detention;Haft / Nachsitzen;n.;C1;
deteriorate;sich verschlechtern;v.;C1;
devastate;verwüsten;v.;C1;
devil;Teufel;n.;C1;
devise;ersinnen / entwerfen;v.;C1;
diagnose;diagnostizieren;v.;C1;
diagnosis;Diagnose;n.;C1;
dictate;diktieren;v.;C1;
dictator;Diktator;n.;C1;
differentiate;unterscheiden;v.;C1;
dignity;Würde;n.;C1;
dilemma;Dilemma;n.;C1;
dimension;Dimension;n.;C1;
diminish;verringern / abnehmen;v.;C1;
dip;eintauchen;v.;C1;
diplomat;Diplomat:in;n.;C1;
diplomatic;diplomatisch;n.;C1;
directory;Verzeichnis;n.;C1;
disastrous;katastrophal;adj.;C1;
discard;wegwerfen / verwerfen;v.;C1;
discharge;entlassen / Entladung;v.;C1;
disclose;offenlegen;v.;C1;
disclosure;Offenlegung;n.;C1;
discourse;Diskurs / Rede;n.;C1;
discretion;Diskretion / Ermessen;n.;C1;
discrimination;Diskriminierung;n.;C1;
dismissal;Entlassung / Abweisung;n.;C1;
displace;verdrängen / verlagern;v.;C1;
disposal;Entsorgung / Verfügung;n.;C1;
dispose;entsorgen / verfügen;v.;C1;
dispute;Streit / bestreiten;n., v.;C1;
disrupt;stören / unterbrechen;v.;C1;
disruption;Störung;n.;C1;
dissolve;auflösen;v.;C1;
distinction;Unterscheidung / Auszeichnung;n.;C1;
distinctive;unverwechselbar;adj.;C1;
distort;verzerren;v.;C1;
distress;Bedrängnis / Not;n., v.;C1;
disturbing;verstörend;adj.;C1;
divert;umleiten / ablenken;v.;C1;
divine;göttlich;adj.;C1;
doctrine;Doktrin / Lehre;n.;C1;
documentation;Dokumentation;n.;C1;
domain;Bereich / Domain;n.;C1;
dominance;Dominanz / Vorherrschaft;n.;C1;
donor;Spender:in;n.;C1;
dose;Dosis;n.;C1;
drain;abfließen / entwässern;v.;C1;
drift;treiben / Drift;v.;C1;
driving;Fahren;adj.;C1;
drown;ertrinken;v.;C1;
dual;dual / doppelt;adj.;C1;
dub;synchronisieren / nennen;v.;C1;
dumb;dumm / stumm;adj.;C1;
duo;Duo;n.;C1;
dynamic;dynamisch;n.;C1;
eager;eifrig / begierig;adj.;C1;
earnings;Einnahmen / Verdienst;n.;C1;
ease;Leichtigkeit / erleichtern;n., v.;C1;
echo;Echo / widerhallen;v., n.;C1;
ecological;ökologisch;adj.;C1;
educator;Pädagog:in / Erzieher:in;n.;C1;
effectiveness;Wirksamkeit;n.;C1;
efficiency;Effizienz;n.;C1;
ego;Ego;n.;C1;
elaborate;ausführlich / ausarbeiten;adj.;C1;
electoral;Wahl- / wahlrechtlich;adj.;C1;
elevate;erhöhen / heben;v.;C1;
eligible;berechtigt / wählbar;adj.;C1;
elite;Elite;n.;C1;
embark;an Bord gehen / beginnen;v.;C1;
embarrassment;Verlegenheit;n.;C1;
embassy;Botschaft;n.;C1;
embed;einbetten;v.;C1;
embody;verkörpern;v.;C1;
emergence;Aufkommen / Entstehung;n.;C1;
empirical;empirisch;adj.;C1;
empower;ermächtigen / stärken;v.;C1;
enact;erlassen / inszenieren;v.;C1;
encompass;umfassen;v.;C1;
encouragement;Ermutigung;n.;C1;
encouraging;ermutigend;adj.;C1;
endeavour;Bestrebung / sich bemühen;n.;C1;
endless;endlos;adj.;C1;
endorse;befürworten / unterstützen;v.;C1;
endorsement;Befürwortung;n.;C1;
endure;aushalten / dauern;v.;C1;
enforce;durchsetzen;v.;C1;
enforcement;Durchsetzung;n.;C1;
engagement;Engagement / Verlobung;n.;C1;
engaging;ansprechend / fesselnd;adj.;C1;
enquire;sich erkundigen;v.;C1;
enrich;bereichern;v.;C1;
enrol;einschreiben / anmelden;v.;C1;
ensue;folgen / sich ergeben;v.;C1;
enterprise;Unternehmen / Unternehmung;n.;C1;
enthusiast;Enthusiast:in / Fan;n.;C1;
entitle;berechtigen / betiteln;v.;C1;
entity;Einheit / Wesen;n.;C1;
epidemic;Epidemie;n.;C1;
equality;Gleichheit;n.;C1;
equation;Gleichung;n.;C1;
erect;errichten / aufrecht;v.;C1;
escalate;eskalieren;v.;C1;
essence;Wesen / Essenz;n.;C1;
establishment;Einrichtung / Establishment;n.;C1;
eternal;ewig;adj.;C1;
evacuate;evakuieren;v.;C1;
evoke;hervorrufen / wachrufen;v.;C1;
evolutionary;evolutionär;adj.;C1;
exaggerate;übertreiben;v.;C1;
excellence;Exzellenz / Vortrefflichkeit;n.;C1;
exceptional;außergewöhnlich;adj.;C1;
excess;Überschuss / Übermaß;n., adj.;C1;
exclusion;Ausschluss;n.;C1;
exclusive;exklusiv;adj.;C1;
exclusively;ausschließlich;adv.;C1;
execute;ausführen / hinrichten;v.;C1;
execution;Ausführung / Hinrichtung;n.;C1;
exert;ausüben;v.;C1;
exile;Exil / verbannen;n.;C1;
exit;Ausgang;v.;C1;
expenditure;Ausgaben;n.;C1;
experimental;experimentell;adj.;C1;
expire;ablaufen / verfallen;v.;C1;
explicit;ausdrücklich / explizit;adj.;C1;
explicitly;ausdrücklich;adv.;C1;
exploitation;Ausbeutung / Nutzung;n.;C1;
explosive;Sprengstoff / explosiv;adj., n.;C1;
extract;Extrakt / extrahieren;v.;C1;
extremist;Extremist:in;n.;C1;
facilitate;erleichtern / ermöglichen;v.;C1;
faction;Fraktion / Gruppierung;n.;C1;
faculty;Fakultät / Fähigkeit;n.;C1;
fade;verblassen / nachlassen;v.;C1;
fairness;Fairness / Gerechtigkeit;n.;C1;
fatal;tödlich / verhängnisvoll;adj.;C1;
fate;Schicksal;n.;C1;
favourable;günstig / wohlgesinnt;adj.;C1;
feat;Heldentat / Leistung;n.;C1;
feminist;feministisch / Feminist:in;adj., n.;C1;
fibre;Faser;n.;C1;
fierce;wild / heftig;adj.;C1;
film-maker;Filmemacher:in;n.;C1;
filter;Filter / filtern;n., v.;C1;
fine;fein / Geldstrafe;n., v.;C1;
firearm;Schusswaffe;n.;C1;
fit;passen / Anfall;n.;C1;
fixture;Spielplan / Einrichtung;n.;C1;
flaw;Mangel / Fehler;n.;C1;
flawed;fehlerhaft;adj.;C1;
flee;fliehen;v.;C1;
fleet;Flotte;n.;C1;
flesh;Fleisch (am Körper);n.;C1;
flexibility;Flexibilität;n.;C1;
flourish;blühen / gedeihen;v.;C1;
fluid;Flüssigkeit / fließend;n.;C1;
footage;Aufnahmen / Filmmaterial;n.;C1;
foreigner;Ausländer:in;n.;C1;
forge;schmieden / fälschen;v.;C1;
formula;Formel;n.;C1;
formulate;formulieren;v.;C1;
forth;hervor / weiter;adv.;C1;
forthcoming;bevorstehend;adj.;C1;
foster;fördern / Pflege-;v.;C1;
fragile;zerbrechlich;adj.;C1;
franchise;Franchise / Wahlrecht;n.;C1;
frankly;offen gesagt;adv.;C1;
frustrated;frustriert;adj.;C1;
frustrating;frustrierend;adj.;C1;
frustration;Frustration;n.;C1;
functional;funktional;adj.;C1;
fundraising;Spendensammlung;n.;C1;
funeral;Beerdigung;n.;C1;
gallon;Gallone;n.;C1;
gambling;Glücksspiel;n.;C1;
gathering;Versammlung;n.;C1;
gaze;starren / Blick;n., v.;C1;
gear;Gang / Ausrüstung;n.;C1;
generic;generisch / allgemein;adj.;C1;
genocide;Völkermord;n.;C1;
glance;Blick / kurz blicken;n., v.;C1;
glimpse;flüchtiger Blick;n.;C1;
glorious;ruhmreich / herrlich;adj.;C1;
glory;Ruhm / Herrlichkeit;n.;C1;
governance;Führung / Regierungsführung;n.;C1;
grace;Anmut / Gnade;n.;C1;
grasp;ergreifen / verstehen;v., n.;C1;
grave (for dead person);Grab;n.;C1;
grave (serious);ernst / schwerwiegend;adj.;C1;
gravity;Schwerkraft / Ernst;n.;C1;
grid;Raster / Netz;n.;C1;
grief;Trauer / Kummer;n.;C1;
grin;grinsen;v., n.;C1;
grind;mahlen / schleifen;v.;C1;
grip;Griff / greifen;n., v.;C1;
gross;brutto / grob;adj.;C1;
guerrilla;Guerilla;n.;C1;
guidance;Anleitung / Führung;n.;C1;
guilt;Schuld;n.;C1;
gut;Bauch / Eingeweide;n.;C1;
hail;hageln / begrüßen;v.;C1;
halfway;auf halbem Weg;adv.;C1;
halt;anhalten / Halt;v., n.;C1;
handful;Handvoll;n.;C1;
handling;Handhabung;n.;C1;
handy;praktisch / handlich;adj.;C1;
harassment;Belästigung;n.;C1;
hardware;Hardware;n.;C1;
harmony;Harmonie;n.;C1;
harsh;hart / rau;adj.;C1;
harvest;Ernte;n., v.;C1;
hatred;Hass;n.;C1;
haunt;verfolgen / spuken;v.;C1;
hazard;Gefahr / Risiko;n.;C1;
heighten;verstärken / erhöhen;v.;C1;
heritage;Erbe / Kulturerbe;n.;C1;
hierarchy;Hierarchie;n.;C1;
high-profile;hochkarätig / aufsehenerregend;adj.;C1;
hint;Hinweis / andeuten;n., v.;C1;
homeland;Heimat;n.;C1;
hook;Haken;v.;C1;
hopeful;hoffnungsvoll;adj.;C1;
horizon;Horizont;n.;C1;
horn;Horn / Hupe;n.;C1;
hostage;Geisel;n.;C1;
hostile;feindlich;adj.;C1;
hostility;Feindseligkeit;n.;C1;
humanitarian;humanitär;adj.;C1;
humanity;Menschheit / Menschlichkeit;n.;C1;
humble;bescheiden / demütig;adj.;C1;
hydrogen;Wasserstoff;n.;C1;
identification;Identifikation;n.;C1;
ideological;ideologisch;adj.;C1;
ideology;Ideologie;n.;C1;
idiot;Idiot:in;n.;C1;
ignorance;Unwissenheit;n.;C1;
imagery;Bildsprache / Bilder;n.;C1;
immense;immens / riesig;adj.;C1;
imminent;bevorstehend / drohend;adj.;C1;
implementation;Umsetzung / Implementierung;n.;C1;
imprison;einsperren / inhaftieren;v.;C1;
imprisonment;Inhaftierung;n.;C1;
inability;Unfähigkeit;n.;C1;
inadequate;unzureichend;adj.;C1;
inappropriate;unangemessen;adj.;C1;
incidence;Häufigkeit / Vorkommen;n.;C1;
inclined;geneigt;adj.;C1;
inclusion;Einbeziehung / Inklusion;n.;C1;
incur;auf sich nehmen / verursachen;v.;C1;
indicator;Indikator;n.;C1;
indictment;Anklage;n.;C1;
indigenous;einheimisch / indigen;adj.;C1;
induce;veranlassen / auslösen;v.;C1;
indulge;nachgeben / sich gönnen;v.;C1;
inequality;Ungleichheit;n.;C1;
infamous;berüchtigt;adj.;C1;
infant;Säugling / Kleinkind;n.;C1;
infect;infizieren / anstecken;v.;C1;
inflict;zufügen;v.;C1;
influential;einflussreich;adj.;C1;
inherent;innewohnend / inhärent;adj.;C1;
inhibit;hemmen / verhindern;v.;C1;
initiate;einleiten / starten;v.;C1;
inject;injizieren / spritzen;v.;C1;
injection;Injektion / Spritze;n.;C1;
injustice;Ungerechtigkeit;n.;C1;
inmate;Insasse;n.;C1;
insertion;Einfügung / Einsetzung;n.;C1;
insider;Insider:in;n.;C1;
inspect;inspizieren / untersuchen;v.;C1;
inspection;Inspektion;n.;C1;
inspiration;Inspiration;n.;C1;
instinct;Instinkt;n.;C1;
institutional;institutionell;adj.;C1;
instruct;unterrichten / anweisen;v.;C1;
instrumental;maßgeblich / instrumental;adj.;C1;
insufficient;unzureichend;adj.;C1;
insult;Beleidigung / beleidigen;n., v.;C1;
intact;intakt / unversehrt;adj.;C1;
intake;Aufnahme / Zufuhr;n.;C1;
integral;integral / wesentlich;adj.;C1;
integrated;integriert;adj.;C1;
integration;Integration;n.;C1;
integrity;Integrität;n.;C1;
intellectual;intellektuell;n.;C1;
intensify;verstärken / intensivieren;v.;C1;
intensity;Intensität;n.;C1;
intensive;intensiv;adj.;C1;
intent;Absicht;n.;C1;
interactive;interaktiv;adj.;C1;
interface;Schnittstelle;n.;C1;
interfere;sich einmischen / stören;v.;C1;
interference;Einmischung / Störung;n.;C1;
interim;Übergangs- / vorläufig;adj.;C1;
interior;Innenraum / inneres;adj., n.;C1;
intermediate;Mittelstufe / dazwischenliegend;adj.;C1;
intervene;eingreifen;v.;C1;
intervention;Intervention / Eingreifen;n.;C1;
intimate;intim / vertraut;adj.;C1;
intriguing;faszinierend;adj.;C1;
investigator;Ermittler:in;n.;C1;
invisible;unsichtbar;adj.;C1;
invoke;anrufen / berufen auf;v.;C1;
involvement;Beteiligung;n.;C1;
ironic;ironisch;adj.;C1;
ironically;ironischerweise;adv.;C1;
irony;Ironie;n.;C1;
irrelevant;irrelevant;adj.;C1;
isolation;Isolation;n.;C1;
judicial;gerichtlich / richterlich;adj.;C1;
junction;Kreuzung / Knotenpunkt;n.;C1;
jurisdiction;Zuständigkeit / Gerichtsbarkeit;n.;C1;
just;gerade / nur / gerecht;adj.;C1;
justification;Rechtfertigung;n.;C1;
kidnap;entführen;v.;C1;
kidney;Niere;n.;C1;
kingdom;Königreich;n.;C1;
lad;Junge / Bursche;n.;C1;
landlord;Vermieter:in;n.;C1;
landmark;Wahrzeichen / Meilenstein;n.;C1;
lap;Schoß / Runde (Sport);n.;C1;
large-scale;großangelegt;adj.;C1;
laser;Laser;n.;C1;
latter;letztere:r;adj., n.;C1;
lawn;Rasen;n.;C1;
lawsuit;Klage / Prozess;n.;C1;
layout;Layout / Anordnung;n.;C1;
leak;Leck / lecken / Leak;v., n.;C1;
leap;springen / Sprung;v., n.;C1;
legacy;Vermächtnis / Erbe;n.;C1;
legendary;legendär;adj.;C1;
legislation;Gesetzgebung;n.;C1;
legislative;gesetzgebend;adj.;C1;
legislature;Legislative / Parlament;n.;C1;
legitimate;legitim / rechtmäßig;adj.;C1;
lengthy;langwierig;adj.;C1;
lesbian;lesbisch / Lesbe;adj.;C1;
lesser;geringer;adj.;C1;
